	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-1.291E-3	2.763E-5	1.291E-3						
0.017	-1.247E-3	8.649E-5	1.250E-3	1.795E-3	4.193E-3	4.561E-3			
0.033	-1.231E-3	1.675E-4	1.242E-3	7.645E-4	-1.727E-5	7.647E-4	-6.183E-2	-6.884E-2	9.253E-2
0.050	-1.222E-3	8.592E-5	1.225E-3	-1.223E-4	-2.542E-4	2.821E-4	-2.854E-2	-2.199E-2	3.603E-2
0.067	-1.235E-3	1.590E-4	1.245E-3	-4.001E-4	1.659E-3	1.707E-3	2.912E-2	1.128E-2	3.123E-2
0.083	-1.235E-3	1.413E-4	1.243E-3	9.202E-4	-1.287E-3	1.582E-3	-2.418E-2	-0.149	0.151
0.100	-1.204E-3	1.161E-4	1.210E-3	-6.384E-4	-2.789E-3	2.861E-3	-0.113	-6.618E-3	0.114
0.117	-1.256E-3	4.822E-5	1.257E-3	-3.638E-3	-2.120E-3	4.211E-3	1.288E-2	5.629E-2	5.775E-2
0.133	-1.325E-3	4.537E-5	1.326E-3	-5.151E-4	-1.710E-4	5.428E-4	8.471E-2	5.696E-2	0.102
0.150	-1.273E-3	4.251E-5	1.274E-3	6.494E-4	-4.573E-4	7.943E-4	3.801E-2	1.341E-4	3.801E-2
0.167	-1.304E-3	3.011E-5	1.304E-3	-6.375E-4	-3.100E-4	7.089E-4	-6.299E-2	-1.375E-2	6.447E-2
0.184	-1.295E-3	3.217E-5	1.295E-3	-6.008E-4	-6.421E-4	8.793E-4	4.450E-2	3.418E-2	5.611E-2
0.200	-1.324E-3	8.690E-6	1.324E-3	9.129E-5	3.054E-4	3.188E-4	1.769E-2	1.816E-2	2.535E-2
0.217	-1.292E-3	4.236E-5	1.292E-3	8.320E-4	7.444E-4	1.116E-3	-4.825E-2	7.463E-2	8.887E-2
0.234	-1.296E-3	3.353E-5	1.296E-3	-1.863E-3	1.848E-3	2.624E-3	-4.603E-2	-2.555E-2	5.265E-2
0.250	-1.354E-3	1.040E-4	1.358E-3	-1.314E-3	1.187E-3	1.770E-3	-2.476E-3	-4.911E-2	4.917E-2
0.267	-1.340E-3	7.312E-5	1.342E-3	-8.591E-4	-1.105E-3	1.400E-3	9.652E-2	-9.295E-2	0.134
0.284	-1.383E-3	6.713E-5	1.384E-3	6.551E-4	-1.154E-3	1.327E-3	3.950E-2	4.434E-2	5.938E-2
0.300	-1.318E-3	3.461E-5	1.318E-3	1.901E-3	-2.080E-4	1.912E-3	-4.565E-3	3.877E-2	3.904E-2
