	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-8.173E-4	1.451E-3	1.666E-3						
0.017	-7.846E-4	1.376E-3	1.584E-3	7.207E-4	-1.751E-3	1.893E-3			
0.033	-7.932E-4	1.393E-3	1.603E-3	-3.605E-3	7.822E-4	3.689E-3	-2.810E-2	0.115	0.118
0.050	-9.049E-4	1.402E-3	1.669E-3	-1.644E-3	1.485E-3	2.215E-3	0.212	-0.129	0.248
0.067	-8.481E-4	1.442E-3	1.673E-3	5.106E-3	-2.526E-3	5.696E-3	0.103	-5.326E-2	0.116
0.083	-7.345E-4	1.318E-3	1.509E-3	2.203E-3	-2.539E-3	3.361E-3	-0.260	7.861E-2	0.271
0.100	-7.746E-4	1.358E-3	1.563E-3	-4.782E-3	2.232E-3	5.277E-3	-0.126	0.202	0.239
0.117	-8.941E-4	1.392E-3	1.655E-3	-2.681E-3	3.296E-3	4.248E-3	3.232E-2	2.122E-2	3.866E-2
0.133	-8.640E-4	1.468E-3	1.703E-3	-1.596E-3	3.461E-3	3.811E-3	7.657E-2	-0.136	0.156
0.150	-9.474E-4	1.508E-3	1.781E-3	-2.145E-3	-1.191E-3	2.454E-3	0.116	-0.226	0.254
0.167	-9.356E-4	1.428E-3	1.707E-3	3.213E-3	-4.936E-3	5.890E-3	8.698E-2	2.367E-2	9.014E-2
0.184	-8.401E-4	1.343E-3	1.584E-3	1.648E-3	-5.737E-4	1.745E-3	-0.102	0.102	0.144
0.200	-8.806E-4	1.409E-3	1.661E-3	-1.802E-3	3.015E-4	1.827E-3	-0.166	-1.262E-2	0.167
0.217	-9.003E-4	1.353E-3	1.625E-3	-2.897E-3	-2.760E-3	4.001E-3	4.390E-2	2.221E-2	4.920E-2
0.234	-9.773E-4	1.317E-3	1.640E-3	-1.379E-3	1.237E-3	1.853E-3	0.117	0.236	0.264
0.250	-9.463E-4	1.394E-3	1.685E-3	2.139E-3	5.844E-3	6.223E-3	9.972E-2	-5.126E-2	0.112
0.267	-9.059E-4	1.512E-3	1.762E-3	1.673E-3	3.326E-4	1.706E-3	4.375E-3	-0.210	0.210
0.284	-8.905E-4	1.406E-3	1.664E-3	1.892E-3	-3.630E-3	4.094E-3	-2.622E-2	-7.207E-2	7.669E-2
0.300	-8.428E-4	1.391E-3	1.626E-3	1.391E-3	-4.050E-4	1.449E-3	-7.580E-2	0.167	0.184
0.317	-8.440E-4	1.392E-3	1.628E-3	-1.055E-3	1.497E-3	1.831E-3	-3.760E-2	3.482E-2	5.125E-2
0.334	-8.779E-4	1.441E-3	1.687E-3	-1.955E-4	1.317E-3	1.331E-3	-7.912E-2	7.526E-2	0.109
0.350	-8.506E-4	1.436E-3	1.669E-3	-2.446E-3	2.899E-3	3.793E-3	-7.149E-2	-3.772E-2	8.083E-2
0.367	-9.596E-4	1.537E-3	1.812E-3	-4.327E-3	1.802E-3	4.687E-3	0.120	-8.674E-2	0.148
