	mass C									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.791E-3	-1.889E-3	2.603E-3						
0.017	1.844E-3	-1.853E-3	2.614E-3	4.912E-4	-6.113E-4	7.842E-4			
0.033	1.808E-3	-1.909E-3	2.629E-3	-6.076E-3	-1.136E-3	6.182E-3	7.191E-2	-9.809E-2	0.122
0.050	1.641E-3	-1.891E-3	2.504E-3	6.276E-4	-2.378E-3	2.459E-3	0.250	-1.186E-2	0.251
0.067	1.829E-3	-1.988E-3	2.701E-3	6.547E-3	-3.201E-3	7.287E-3	8.642E-2	-3.453E-3	8.649E-2
0.083	1.859E-3	-1.998E-3	2.729E-3	7.955E-4	-1.172E-3	1.416E-3	-0.123	-0.137	0.184
0.100	1.855E-3	-2.027E-3	2.748E-3	2.429E-3	-7.488E-3	7.872E-3	-0.195	-0.417	0.461
0.117	1.940E-3	-2.248E-3	2.970E-3	-3.574E-3	-1.622E-2	1.661E-2	-0.334	-0.320	0.462
0.133	1.736E-3	-2.569E-3	3.100E-3	-1.167E-2	-1.832E-2	2.172E-2	6.785E-2	-0.172	0.185
0.150	1.551E-3	-2.859E-3	3.253E-3	-1.300E-3	-2.079E-2	2.083E-2	0.479	-0.169	0.508
0.167	1.693E-3	-3.262E-3	3.675E-3	7.195E-3	-2.495E-2	2.596E-2	7.535E-2	-9.270E-2	0.119
0.184	1.791E-3	-3.692E-3	4.103E-3	2.573E-4	-2.389E-2	2.389E-2	-0.204	-0.342	0.398
0.200	1.701E-3	-4.059E-3	4.401E-3	-1.577E-3	-3.400E-2	3.404E-2	-0.131	-0.335	0.360
0.217	1.739E-3	-4.826E-3	5.130E-3	-1.660E-3	-3.965E-2	3.969E-2	0.229	-0.219	0.317
0.234	1.646E-3	-5.383E-3	5.629E-3	3.164E-3	-3.723E-2	3.737E-2	-0.180	0.252	0.310
0.250	1.844E-3	-6.069E-3	6.343E-3	-2.565E-3	-3.425E-2	3.435E-2	1.826E-2	-0.405	0.406
0.267	1.560E-3	-6.525E-3	6.709E-3	-3.531E-3	-4.563E-2	4.577E-2	-0.266	0.127	0.295
0.284	1.726E-3	-7.591E-3	7.785E-3	-3.600E-3	-3.967E-2	3.984E-2	0.295	-0.363	0.468
0.300	1.440E-3	-7.849E-3	7.980E-3	-1.685E-3	-4.413E-2	4.416E-2	-6.134E-2	-2.187E-2	6.512E-2
0.317	1.670E-3	-9.063E-3	9.216E-3	2.346E-3	-5.464E-2	5.469E-2	0.172	-0.540	0.567
0.334	1.518E-3	-9.672E-3	9.791E-3	-2.373E-3	-5.083E-2	5.088E-2	-0.184	0.193	0.266
0.350	1.591E-3	-1.076E-2	1.088E-2	3.454E-4	-5.618E-2	5.618E-2	6.112E-2	-5.634E-2	8.313E-2
0.367	1.530E-3	-1.155E-2	1.165E-2	-2.591E-3	-4.798E-2	4.805E-2	-0.223	-3.108E-2	0.225
0.384	1.504E-3	-1.236E-2	1.245E-2	-5.622E-3	-5.748E-2	5.775E-2	4.081E-2	-0.107	0.114
0.400	1.342E-3	-1.346E-2	1.353E-2	-3.450E-3	-5.546E-2	5.557E-2	0.323	-0.235	0.400
0.417	1.389E-3	-1.421E-2	1.428E-2	6.957E-3	-5.897E-2	5.938E-2	0.535	-0.214	0.576
0.434	1.574E-3	-1.543E-2	1.551E-2	1.422E-2	-6.883E-2	7.028E-2	-0.456	-3.982E-3	0.456
0.450	1.864E-3	-1.651E-2	1.661E-2	-4.802E-3	-5.690E-2	5.710E-2	-0.440	0.163	0.469
0.467	1.414E-3	-1.733E-2	1.739E-2	-9.691E-3	-6.030E-2	6.108E-2	-0.367	-0.316	0.484
0.484	1.541E-3	-1.852E-2	1.858E-2	-6.883E-3	-7.160E-2	7.193E-2	0.394	-0.533	0.663
0.501	1.185E-3	-1.972E-2	1.976E-2	-5.411E-3	-7.603E-2	7.622E-2	0.182	0.508	0.540
0.517	1.360E-3	-2.106E-2	2.110E-2	6.409E-3	-5.880E-2	5.915E-2	0.181	0.882	0.901
0.534	1.398E-3	-2.168E-2	2.173E-2	-2.195E-3	-3.962E-2	3.968E-2	-0.106	0.817	0.824
0.551	1.287E-3	-2.238E-2	2.242E-2	1.056E-3	-3.602E-2	3.603E-2	0.181	0.391	0.431
0.567	1.434E-3	-2.288E-2	2.293E-2	6.962E-3	-2.534E-2	2.628E-2	-0.156	0.307	0.344
0.584	1.519E-3	-2.322E-2	2.327E-2	-4.427E-3	-2.459E-2	2.499E-2	-0.438	-0.286	0.523
0.601	1.286E-3	-2.370E-2	2.374E-2	-1.059E-2	-3.580E-2	3.733E-2	-0.106	6.879E-2	0.127
