	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	2.778E-4	6.242E-4	6.832E-4						
0.017	7.642E-4	7.049E-4	1.040E-3	3.739E-2	6.026E-3	3.787E-2			
0.033	1.525E-3	8.252E-4	1.734E-3	2.061E-2	2.808E-3	2.080E-2	-0.442	-0.192	0.482
0.050	1.452E-3	7.985E-4	1.657E-3	1.199E-2	-1.781E-3	1.212E-2	0.281	-3.724E-2	0.283
0.067	1.925E-3	7.658E-4	2.072E-3	3.699E-2	1.630E-3	3.703E-2	0.585	-9.331E-2	0.593
0.083	2.686E-3	8.529E-4	2.818E-3	3.339E-2	-2.710E-3	3.350E-2	-0.392	-0.204	0.442
0.100	3.039E-3	6.754E-4	3.113E-3	1.945E-2	-8.299E-3	2.114E-2	-0.283	-0.126	0.310
0.117	3.335E-3	5.760E-4	3.385E-3	2.427E-2	-5.219E-3	2.483E-2	0.264	3.316E-2	0.266
0.133	3.849E-3	5.013E-4	3.882E-3	3.043E-2	-6.962E-3	3.121E-2	-3.721E-2	4.085E-2	5.526E-2
0.150	4.350E-3	3.437E-4	4.364E-3	2.299E-2	-5.267E-3	2.359E-2	-2.729E-2	0.218	0.220
0.167	4.616E-3	3.255E-4	4.628E-3	2.611E-2	1.487E-3	2.615E-2	0.111	0.216	0.243
0.184	5.221E-3	3.934E-4	5.236E-3	3.131E-2	2.328E-3	3.140E-2	-0.129	9.585E-2	0.161
0.200	5.661E-3	4.032E-4	5.676E-3	1.986E-2	3.418E-3	2.015E-2	-3.970E-2	0.180	0.185
0.217	5.884E-3	5.074E-4	5.906E-3	2.690E-2	9.009E-3	2.837E-2	0.231	0.102	0.253
0.234	6.559E-3	7.038E-4	6.597E-3	3.339E-2	7.767E-3	3.428E-2	0.188	2.858E-2	0.190
0.250	6.998E-3	7.665E-4	7.040E-3	2.885E-2	7.840E-3	2.990E-2	-0.157	2.013E-2	0.158
0.267	7.522E-3	9.654E-4	7.583E-3	3.007E-2	1.039E-2	3.182E-2	-0.326	0.156	0.361
0.284	8.002E-3	1.113E-3	8.079E-3	1.869E-2	1.162E-2	2.201E-2	-0.102	-2.339E-2	0.105
0.300	8.145E-3	1.353E-3	8.257E-3	2.204E-2	1.109E-2	2.467E-2	0.142	-0.139	0.198
0.317	8.737E-3	1.483E-3	8.862E-3	2.954E-2	5.919E-3	3.013E-2	0.285	-0.182	0.338
0.334	9.131E-3	1.551E-3	9.262E-3	2.740E-2	4.834E-3	2.782E-2	-3.481E-2	-8.549E-2	9.230E-2
0.350	9.652E-3	1.645E-3	9.791E-3	3.042E-2	3.820E-3	3.066E-2	6.279E-2	-0.134	0.148
0.367	1.015E-2	1.678E-3	1.028E-2	2.885E-2	3.007E-5	2.885E-2	-0.256	-8.563E-2	0.270
0.384	1.061E-2	1.646E-3	1.074E-2	2.255E-2	3.296E-4	2.255E-2	-0.221	-0.141	0.262
0.400	1.090E-2	1.689E-3	1.103E-2	1.964E-2	-2.957E-3	1.987E-2	6.358E-2	-8.829E-2	0.109
0.417	1.127E-2	1.547E-3	1.138E-2	2.570E-2	-5.032E-3	2.619E-2	0.542	-0.187	0.573
0.434	1.176E-2	1.521E-3	1.185E-2	3.720E-2	-6.665E-3	3.779E-2	-0.135	-1.318E-2	0.136
0.450	1.251E-2	1.325E-3	1.258E-2	2.577E-2	-7.979E-3	2.697E-2	-0.382	3.342E-2	0.384
0.467	1.262E-2	1.255E-3	1.268E-2	1.630E-2	-3.784E-3	1.674E-2	-5.961E-2	0.198	0.207
0.484	1.305E-2	1.198E-3	1.311E-2	2.903E-2	-2.010E-3	2.910E-2	0.534	0.126	0.548
0.501	1.358E-2	1.188E-3	1.364E-2	3.324E-2	5.905E-4	3.325E-2	8.436E-2	0.148	0.170
0.517	1.416E-2	1.218E-3	1.422E-2	3.224E-2	2.909E-3	3.237E-2	-0.235	0.142	0.275
0.534	1.466E-2	1.285E-3	1.472E-2	2.513E-2	5.290E-3	2.568E-2	-0.309	7.434E-2	0.318
0.551	1.500E-2	1.395E-3	1.507E-2	2.092E-2	5.717E-3	2.168E-2	-7.313E-3	-0.188	0.189
0.567	1.536E-2	1.476E-3	1.543E-2	2.511E-2	-6.355E-4	2.512E-2	0.277	-0.226	0.358
0.584	1.584E-2	1.373E-3	1.590E-2	3.091E-2	-3.641E-3	3.112E-2	-9.889E-2	-5.609E-2	0.114
0.601	1.639E-2	1.354E-3	1.645E-2	2.322E-2	-1.023E-3	2.324E-2	-7.269E-2	7.657E-2	0.106
0.617	1.662E-2	1.339E-3	1.667E-2	2.395E-2	-1.346E-3	2.399E-2	1.057E-2	-3.142E-2	3.315E-2
0.634	1.719E-2	1.309E-3	1.724E-2	2.873E-2	-2.161E-3	2.881E-2	0.391	4.663E-2	0.394
0.651	1.757E-2	1.267E-3	1.762E-2	3.255E-2	-1.717E-4	3.255E-2	-8.395E-2	-1.909E-2	8.609E-2
0.667	1.827E-2	1.304E-3	1.832E-2	3.100E-2	-1.537E-3	3.104E-2	0.210	-0.180	0.277
0.684	1.861E-2	1.216E-3	1.865E-2	3.318E-2	-7.300E-3	3.397E-2	-8.483E-2	-0.308	0.319
0.701	1.938E-2	1.060E-3	1.941E-2	3.511E-2	-1.154E-2	3.696E-2	-0.336	-0.101	0.351
0.717	1.978E-2	8.308E-4	1.980E-2	1.775E-2	-1.134E-2	2.106E-2	-0.728	1.175E-2	0.728
0.734	1.997E-2	6.818E-4	1.999E-2	1.081E-2	-9.994E-3	1.472E-2	0.152	-2.397E-3	0.152
0.751	2.014E-2	4.973E-4	2.015E-2	2.178E-2	-1.194E-2	2.483E-2	0.755	0.130	0.766
0.767	2.070E-2	2.834E-4	2.070E-2	3.874E-2	-6.650E-3	3.930E-2	0.373	0.160	0.406
0.784	2.143E-2	2.754E-4	2.143E-2	3.526E-2	-4.171E-3	3.551E-2	-0.374	-0.187	0.418
0.801	2.188E-2	1.442E-4	2.188E-2	2.349E-2	-1.395E-2	2.732E-2	-0.496	-0.395	0.634
0.817	2.222E-2	-1.901E-4	2.222E-2	1.921E-2	-1.874E-2	2.684E-2	0.109	4.930E-2	0.120
0.834	2.252E-2	-4.812E-4	2.252E-2	2.609E-2	-1.186E-2	2.866E-2	0.471	0.247	0.532
0.851	2.309E-2	-5.860E-4	2.309E-2	3.698E-2	-8.744E-3	3.800E-2	7.773E-2	-3.817E-2	8.659E-2
0.868	2.375E-2	-7.729E-4	2.376E-2	2.979E-2	-1.421E-2	3.300E-2	-0.211	-0.190	0.284
0.884	2.408E-2	-1.060E-3	2.410E-2	2.579E-2	-1.578E-2	3.024E-2	-0.214	3.993E-2	0.218
0.901	2.461E-2	-1.300E-3	2.465E-2	2.656E-2	-1.233E-2	2.928E-2	0.180	0.200	0.269
0.918	2.497E-2	-1.471E-3	2.501E-2	2.842E-2	-8.927E-3	2.979E-2	0.203	-7.712E-2	0.217
0.934	2.556E-2	-1.597E-3	2.561E-2	3.606E-2	-1.389E-2	3.864E-2	7.444E-2	-0.334	0.342
0.951	2.617E-2	-1.935E-3	2.624E-2	3.084E-2	-2.185E-2	3.780E-2	-0.247	-0.364	0.440
0.968	2.659E-2	-2.326E-3	2.669E-2	2.599E-2	-2.533E-2	3.629E-2	-0.167	-0.243	0.295
0.984	2.704E-2	-2.780E-3	2.718E-2	2.639E-2	-2.986E-2	3.986E-2	0.444	-6.135E-2	0.448
1.001	2.747E-2	-3.323E-3	2.767E-2	3.873E-2	-2.846E-2	4.806E-2	0.400	8.956E-2	0.410
1.018	2.833E-2	-3.730E-3	2.857E-2	4.449E-2	-2.521E-2	5.113E-2	1.169E-2	0.209	0.210
1.034	2.895E-2	-4.164E-3	2.925E-2	3.555E-2	-2.276E-2	4.221E-2	-0.331	0.156	0.366
1.051	2.952E-2	-4.489E-3	2.986E-2	3.386E-2	-1.901E-2	3.883E-2	-0.171	0.349	0.389
1.068	3.008E-2	-4.798E-3	3.046E-2	3.065E-2	-1.232E-2	3.303E-2	0.118	0.377	0.395
1.084	3.054E-2	-4.900E-3	3.093E-2	3.560E-2	-4.892E-3	3.593E-2	3.410E-2	0.440	0.441
1.101	3.127E-2	-4.962E-3	3.166E-2	3.583E-2	1.130E-3	3.585E-2	-3.513E-2	0.150	0.154
1.118	3.173E-2	-4.863E-3	3.210E-2	3.050E-2	1.877E-3	3.056E-2	0.236	0.222	0.325
1.134	3.229E-2	-4.899E-3	3.266E-2	4.414E-2	5.593E-3	4.450E-2	0.148	1.878E-2	0.149
1.151	3.321E-2	-4.676E-3	3.353E-2	4.023E-2	6.312E-3	4.072E-2	-0.272	4.104E-3	0.272
1.168	3.363E-2	-4.688E-3	3.396E-2	2.882E-2	2.186E-3	2.890E-2	-0.153	-0.436	0.462
1.185	3.417E-2	-4.603E-3	3.448E-2	3.744E-2	-4.951E-3	3.777E-2	0.358	-0.293	0.463
1.201	3.488E-2	-4.853E-3	3.522E-2	4.190E-2	-1.141E-2	4.343E-2	-5.283E-2	-1.964E-2	5.636E-2
1.218	3.557E-2	-4.984E-3	3.591E-2	3.549E-2	-3.724E-3	3.568E-2	3.581E-2	0.183	0.186
1.235	3.607E-2	-4.978E-3	3.641E-2	4.015E-2	-4.028E-3	4.035E-2	3.582E-3	-7.467E-2	7.475E-2
1.251	3.691E-2	-5.118E-3	3.726E-2	4.072E-2	-8.100E-3	4.152E-2	3.124E-2	-0.180	0.183
1.268	3.742E-2	-5.248E-3	3.779E-2	3.622E-2	-9.128E-3	3.735E-2	-0.148	-0.283	0.320
1.285	3.812E-2	-5.423E-3	3.850E-2	3.898E-2	-1.705E-2	4.255E-2	0.237	-0.181	0.298
1.301	3.873E-2	-5.817E-3	3.916E-2	4.191E-2	-1.771E-2	4.550E-2	-0.260	0.125	0.288
1.318	3.951E-2	-6.014E-3	3.997E-2	3.408E-2	-1.044E-2	3.565E-2	8.936E-2	0.107	0.139
1.335	3.986E-2	-6.165E-3	4.034E-2	3.793E-2	-1.392E-2	4.040E-2	5.425E-2	-0.148	0.158
1.351	4.078E-2	-6.478E-3	4.129E-2	4.419E-2	-1.719E-2	4.741E-2	8.601E-2	-0.354	0.364
1.368	4.134E-2	-6.739E-3	4.188E-2	3.505E-2	-2.347E-2	4.218E-2	-0.131	-0.175	0.218
1.385	4.195E-2	-7.261E-3	4.257E-2	4.118E-2	-2.621E-2	4.881E-2	0.214	-0.124	0.247
1.401	4.271E-2	-7.613E-3	4.338E-2	4.353E-2	-2.455E-2	4.997E-2	-1.088E-2	0.291	0.291
1.418	4.340E-2	-8.080E-3	4.415E-2	3.979E-2	-1.942E-2	4.428E-2	-0.175	9.140E-2	0.197
1.435	4.404E-2	-8.261E-3	4.481E-2	3.763E-2	-1.760E-2	4.154E-2	-0.229	0.175	0.288
1.451	4.466E-2	-8.667E-3	4.549E-2	3.282E-2	-1.769E-2	3.729E-2	-0.174	-4.470E-2	0.179
1.468	4.513E-2	-8.852E-3	4.599E-2	3.044E-2	-1.558E-2	3.420E-2	-1.275E-3	-0.275	0.275
1.485	4.567E-2	-9.187E-3	4.659E-2	3.371E-2	-2.798E-2	4.381E-2	0.194	-6.767E-2	0.206
1.502	4.626E-2	-9.785E-3	4.728E-2	3.682E-2	-2.149E-2	4.263E-2	0.253	0.103	0.273
1.518	4.690E-2	-9.904E-3	4.794E-2	4.195E-2	-1.781E-2	4.557E-2	7.231E-2	-5.622E-2	9.159E-2
1.535	4.766E-2	-1.038E-2	4.878E-2	4.065E-2	-2.846E-2	4.962E-2	-0.127	-0.221	0.255
1.552	4.826E-2	-1.085E-2	4.946E-2	3.587E-2	-2.424E-2	4.330E-2	-0.264	-3.445E-2	0.266
1.568	4.885E-2	-1.119E-2	5.012E-2	3.294E-2	-2.737E-2	4.282E-2	-9.480E-2	-0.140	0.169
1.585	4.936E-2	-1.177E-2	5.074E-2	3.166E-2	-3.200E-2	4.501E-2	5.884E-2	1.635E-3	5.886E-2
1.602	4.991E-2	-1.226E-2	5.139E-2	3.546E-2	-2.597E-2	4.395E-2	0.228	0.165	0.281
1.618	5.054E-2	-1.263E-2	5.209E-2	3.941E-2	-2.552E-2	4.695E-2	7.462E-2	-0.127	0.147
1.635	5.123E-2	-1.311E-2	5.288E-2	3.852E-2	-3.112E-2	4.952E-2	-5.702E-2	-2.657E-2	6.291E-2
1.652	5.182E-2	-1.367E-2	5.360E-2	3.642E-2	-2.765E-2	4.573E-2	-0.149	7.788E-2	0.168
1.668	5.244E-2	-1.403E-2	5.429E-2	3.446E-2	-2.575E-2	4.302E-2	0.145	6.582E-2	0.160
1.685	5.297E-2	-1.453E-2	5.493E-2	3.940E-2	-2.788E-2	4.827E-2	3.334E-2	0.189	0.192
1.702	5.376E-2	-1.496E-2	5.580E-2	3.916E-2	-1.914E-2	4.359E-2	-0.222	0.634	0.672
1.718	5.428E-2	-1.517E-2	5.636E-2	2.908E-2	-6.080E-3	2.971E-2	-0.344	0.870	0.936
1.735	5.473E-2	-1.516E-2	5.679E-2	2.792E-2	9.509E-3	2.949E-2	6.286E-2	0.912	0.914
1.752	5.521E-2	-1.485E-2	5.718E-2	3.152E-2	2.510E-2	4.029E-2	1.756E-2	0.543	0.543
1.768	5.578E-2	-1.433E-2	5.759E-2	2.963E-2	2.861E-2	4.119E-2	-0.180	4.891E-2	0.187
1.785	5.620E-2	-1.390E-2	5.789E-2	2.411E-2	2.504E-2	3.476E-2	0.112	0.332	0.350
1.802	5.658E-2	-1.349E-2	5.817E-2	3.227E-2	3.800E-2	4.985E-2	0.366	0.259	0.448
1.818	5.728E-2	-1.263E-2	5.865E-2	3.950E-2	3.937E-2	5.577E-2	-0.170	-0.567	0.592
1.835	5.790E-2	-1.218E-2	5.917E-2	2.623E-2	1.534E-2	3.038E-2	-0.226	-1.197	1.218
