	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-1.957E-3	-8.112E-3	8.345E-3						
0.017	-1.123E-3	-8.427E-3	8.502E-3	6.999E-2	-1.825E-2	7.233E-2			
0.033	3.781E-4	-8.721E-3	8.729E-3	6.901E-2	-2.443E-2	7.321E-2	-0.298	0.292	0.417
0.050	1.180E-3	-9.242E-3	9.317E-3	5.082E-2	-1.312E-2	5.249E-2	-0.649	0.318	0.723
0.067	2.074E-3	-9.159E-3	9.391E-3	5.144E-2	-6.084E-3	5.180E-2	-0.310	6.428E-2	0.317
0.083	2.896E-3	-9.445E-3	9.879E-3	4.068E-2	-1.678E-2	4.401E-2	0.536	-0.273	0.602
0.100	3.431E-3	-9.719E-3	1.031E-2	6.280E-2	-1.385E-2	6.431E-2	0.500	-0.225	0.548
0.117	4.992E-3	-9.908E-3	1.109E-2	7.064E-2	-2.208E-2	7.401E-2	9.534E-2	7.491E-2	0.121
0.133	5.788E-3	-1.046E-2	1.195E-2	5.414E-2	-1.705E-2	5.676E-2	-0.574	0.535	0.784
0.150	6.798E-3	-1.048E-2	1.249E-2	5.708E-2	1.431E-3	5.709E-2	7.141E-2	0.350	0.357
0.167	7.693E-3	-1.041E-2	1.294E-2	5.450E-2	-5.490E-3	5.477E-2	-0.247	-0.474	0.535
0.184	8.617E-3	-1.066E-2	1.371E-2	5.030E-2	-1.721E-2	5.316E-2	-0.109	-0.358	0.374
0.200	9.371E-3	-1.098E-2	1.444E-2	4.879E-2	-1.700E-2	5.166E-2	0.256	-4.672E-2	0.261
0.217	1.024E-2	-1.123E-2	1.520E-2	5.956E-2	-1.741E-2	6.206E-2	0.526	0.118	0.539
0.234	1.136E-2	-1.156E-2	1.621E-2	6.775E-2	-1.493E-2	6.937E-2	-0.153	0.256	0.298
0.250	1.251E-2	-1.172E-2	1.714E-2	5.558E-2	-7.329E-3	5.606E-2	-0.553	0.182	0.582
0.267	1.321E-2	-1.181E-2	1.772E-2	4.502E-2	-8.438E-3	4.581E-2	5.109E-2	-0.115	0.125
0.284	1.401E-2	-1.201E-2	1.845E-2	5.837E-2	-1.242E-2	5.967E-2	0.211	-9.839E-2	0.233
0.300	1.516E-2	-1.222E-2	1.947E-2	5.657E-2	-1.156E-2	5.774E-2	-0.289	0.130	0.317
0.317	1.589E-2	-1.239E-2	2.015E-2	4.366E-2	-7.941E-3	4.438E-2	-0.296	0.140	0.327
0.334	1.662E-2	-1.249E-2	2.079E-2	4.776E-2	-6.342E-3	4.817E-2	0.402	0.199	0.449
0.350	1.749E-2	-1.260E-2	2.156E-2	5.764E-2	-2.452E-3	5.769E-2	-7.622E-2	7.356E-2	0.106
0.367	1.854E-2	-1.257E-2	2.240E-2	4.824E-2	-1.917E-3	4.828E-2	-0.671	4.266E-2	0.672
0.384	1.910E-2	-1.267E-2	2.292E-2	3.065E-2	-3.217E-3	3.082E-2	-0.147	-0.318	0.351
0.400	1.956E-2	-1.268E-2	2.331E-2	4.257E-2	-9.849E-3	4.369E-2	0.398	-4.129E-2	0.400
0.417	2.052E-2	-1.300E-2	2.429E-2	4.962E-2	-9.098E-3	5.044E-2	2.881E-2	-1.829E-2	3.412E-2
0.434	2.122E-2	-1.298E-2	2.487E-2	3.959E-2	-5.331E-3	3.995E-2	-3.994E-2	0.408	0.410
0.450	2.184E-2	-1.317E-2	2.551E-2	4.726E-2	-3.441E-4	4.726E-2	-0.315	0.312	0.443
0.467	2.280E-2	-1.299E-2	2.624E-2	3.541E-2	9.433E-3	3.665E-2	-0.347	0.888	0.953
0.484	2.302E-2	-1.286E-2	2.637E-2	2.619E-2	2.480E-2	3.606E-2	-0.635	1.325	1.469
0.501	2.367E-2	-1.216E-2	2.661E-2	2.321E-2	5.657E-2	6.115E-2	-0.349	1.960	1.990
0.517	2.380E-2	-1.097E-2	2.620E-2	8.170E-3	8.944E-2	8.981E-2	-0.811	1.774	1.950
0.534	2.394E-2	-9.179E-3	2.564E-2	-1.595E-4	0.117	0.117	-0.310	0.683	0.750
0.551	2.379E-2	-7.056E-3	2.481E-2	-5.353E-3	0.114	0.114	0.457	-0.467	0.653
0.567	2.376E-2	-5.364E-3	2.436E-2	1.504E-2	9.725E-2	9.840E-2	0.411	-0.519	0.662
0.584	2.429E-2	-3.812E-3	2.459E-2	1.497E-2	9.711E-2	9.825E-2	-0.253	-0.349	0.431
0.601	2.426E-2	-2.124E-3	2.436E-2	-6.955E-4	8.908E-2	8.909E-2	-0.225	-0.574	0.616
0.617	2.427E-2	-8.391E-4	2.428E-2	8.928E-3	7.433E-2	7.486E-2	0.738	-0.260	0.783
0.634	2.456E-2	3.560E-4	2.456E-2	2.514E-2	8.014E-2	8.399E-2	0.420	0.268	0.498
