	mass C									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.102E-3	1.012E-2	1.018E-2						
0.017	1.310E-3	1.019E-2	1.027E-2	3.022E-2	1.868E-3	3.028E-2			
0.033	2.110E-3	1.018E-2	1.040E-2	3.242E-2	1.108E-3	3.243E-2	2.414E-2	-6.264E-2	6.713E-2
0.050	2.391E-3	1.023E-2	1.050E-2	2.313E-2	8.842E-4	2.315E-2	7.064E-2	-7.834E-2	0.105
0.067	2.882E-3	1.021E-2	1.061E-2	3.763E-2	-2.136E-3	3.769E-2	-0.121	-0.141	0.185
0.083	3.647E-3	1.015E-2	1.079E-2	2.371E-2	-3.776E-3	2.401E-2	-0.410	5.694E-2	0.414
0.100	3.673E-3	1.008E-2	1.073E-2	1.459E-2	-7.410E-4	1.461E-2	0.223	-7.950E-2	0.237
0.117	4.134E-3	1.013E-2	1.094E-2	3.673E-2	-4.312E-3	3.698E-2	0.671	-0.178	0.694
0.133	4.899E-3	9.939E-3	1.108E-2	3.875E-2	-9.495E-3	3.990E-2	0.224	-0.546	0.590
0.150	5.427E-3	9.813E-3	1.121E-2	3.972E-2	-1.926E-2	4.414E-2	0.635	-0.378	0.739
0.167	6.224E-3	9.296E-3	1.119E-2	6.132E-2	-2.638E-2	6.676E-2	-5.851E-2	-6.424E-3	5.886E-2
0.184	7.473E-3	8.932E-3	1.165E-2	4.477E-2	-1.715E-2	4.794E-2	-0.533	0.276	0.600
0.200	7.718E-3	8.724E-3	1.165E-2	3.073E-2	-1.600E-2	3.465E-2	-0.422	-5.510E-2	0.426
0.217	8.498E-3	8.399E-3	1.195E-2	4.047E-2	-2.050E-2	4.537E-2	2.994E-2	-0.129	0.132
0.234	9.069E-3	8.040E-3	1.212E-2	2.846E-2	-2.026E-2	3.493E-2	-0.154	-5.671E-2	0.164
0.250	9.448E-3	7.723E-3	1.220E-2	3.313E-2	-2.153E-2	3.951E-2	2.038E-2	-0.226	0.227
0.267	1.017E-2	7.321E-3	1.253E-2	3.425E-2	-2.813E-2	4.432E-2	8.331E-2	5.907E-2	0.102
0.284	1.059E-2	6.784E-3	1.258E-2	3.092E-2	-2.185E-2	3.786E-2	0.191	0.358	0.406
0.300	1.121E-2	6.592E-3	1.300E-2	4.279E-2	-1.249E-2	4.457E-2	1.353	0.250	1.376
0.317	1.202E-2	6.367E-3	1.360E-2	7.340E-2	-1.505E-2	7.492E-2	-9.004E-2	-0.120	0.150
0.334	1.365E-2	6.090E-3	1.495E-2	5.251E-2	-1.678E-2	5.512E-2	-1.139	0.137	1.147
