	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	3.412E-3	2.071E-3	3.992E-3						
0.017	6.275E-3	7.488E-4	6.320E-3	0.172	-9.213E-2	0.196			
0.033	9.167E-3	-1.003E-3	9.221E-3	0.169	-0.107	0.201	0.165	-0.520	0.545
0.050	1.193E-2	-2.830E-3	1.226E-2	0.175	-0.108	0.206	0.146	0.345	0.374
0.067	1.502E-2	-4.621E-3	1.571E-2	0.179	-9.666E-2	0.203	-0.451	2.124	2.172
0.083	1.789E-2	-6.056E-3	1.889E-2	0.159	-4.106E-2	0.164	-0.898	3.603	3.713
0.100	2.032E-2	-5.991E-3	2.119E-2	0.146	3.099E-2	0.149	-0.457	3.058	3.092
0.117	2.275E-2	-5.022E-3	2.330E-2	0.146	6.178E-2	0.158	-0.279	0.349	0.447
0.133	2.518E-2	-3.930E-3	2.548E-2	0.138	4.301E-2	0.144	-0.473	-1.545	1.616
0.150	2.734E-2	-3.587E-3	2.758E-2	0.128	5.450E-3	0.128	0.378	-2.091	2.125
0.167	2.945E-2	-3.748E-3	2.968E-2	0.148	-2.561E-2	0.150	0.577	-1.480	1.589
0.184	3.227E-2	-4.441E-3	3.258E-2	0.156	-4.573E-2	0.162	0.278	-0.670	0.725
0.200	3.464E-2	-5.274E-3	3.504E-2	0.149	-4.726E-2	0.156	0.580	0.117	0.592
0.217	3.724E-2	-6.018E-3	3.772E-2	0.176	-4.098E-2	0.181	0.752	0.451	0.876
0.234	4.051E-2	-6.641E-3	4.105E-2	0.181	-3.230E-2	0.184	7.618E-2	0.695	0.699
0.250	4.328E-2	-7.096E-3	4.385E-2	0.171	-1.816E-2	0.172	0.214	1.127	1.147
0.267	4.621E-2	-7.247E-3	4.677E-2	0.190	5.135E-3	0.190	0.770	0.686	1.031
0.284	4.960E-2	-6.924E-3	5.008E-2	0.200	8.998E-3	0.200	4.703E-2	-0.239	0.244
0.300	5.288E-2	-6.947E-3	5.334E-2	0.189	-7.038E-3	0.189	-7.827E-2	-0.505	0.511
0.317	5.592E-2	-7.159E-3	5.637E-2	0.194	-8.582E-3	0.194	0.450	-0.446	0.633
0.334	5.936E-2	-7.233E-3	5.980E-2	0.209	-1.800E-2	0.209	-8.065E-2	-0.113	0.138
0.350	6.288E-2	-7.760E-3	6.335E-2	0.193	-1.864E-2	0.194	-1.513	1.705	2.279
0.367	6.580E-2	-7.855E-3	6.626E-2	0.155	3.822E-2	0.160	-1.732	3.156	3.600
0.384	6.806E-2	-6.484E-3	6.837E-2	0.133	9.549E-2	0.163	-0.588	2.768	2.830
0.400	7.022E-2	-4.669E-3	7.037E-2	0.137	0.126	0.186	-0.322	1.561	1.594
0.417	7.262E-2	-2.290E-3	7.266E-2	0.127	0.150	0.196	6.430E-2	0.320	0.326
0.434	7.445E-2	3.198E-4	7.445E-2	0.130	0.138	0.190	0.246	-0.970	1.001
0.450	7.695E-2	2.330E-3	7.699E-2	0.144	0.112	0.183	0.258	-2.085	2.101
0.467	7.926E-2	4.064E-3	7.936E-2	0.134	7.345E-2	0.153	-0.463	-2.772	2.810
0.484	8.144E-2	4.781E-3	8.158E-2	0.129	1.606E-2	0.130	-4.234E-2	-3.230	3.230
0.501	8.356E-2	4.599E-3	8.368E-2	0.132	-3.432E-2	0.137	0.246	-2.505	2.517
0.517	8.585E-2	3.636E-3	8.593E-2	0.139	-6.879E-2	0.155	0.146	-1.394	1.401
0.534	8.818E-2	2.304E-3	8.821E-2	0.137	-8.054E-2	0.159	0.350	0.314	0.470
0.551	9.042E-2	9.487E-4	9.043E-2	0.148	-5.997E-2	0.159	0.558	1.527	1.625
0.567	9.310E-2	3.031E-4	9.311E-2	0.160	-2.533E-2	0.162	0.918	1.460	1.724
0.584	9.576E-2	1.034E-4	9.576E-2	0.174	-1.067E-2	0.174	0.416	0.479	0.634
0.601	9.891E-2	-5.306E-5	9.891E-2	0.179	-1.071E-2	0.180	0.262	-0.341	0.430
0.617	0.102	-2.540E-4	0.102	0.177	-2.129E-2	0.178	-9.277E-2	-0.729	0.735
0.634	0.105	-7.633E-4	0.105	0.180	-3.663E-2	0.184	-0.247	-1.908	1.924
0.651	0.108	-1.476E-3	0.108	0.168	-8.004E-2	0.186	-0.300	-2.498	2.516
0.667	0.110	-3.434E-3	0.110	0.167	-0.128	0.211	7.663E-2	-2.246	2.247
0.684	0.113	-5.754E-3	0.113	0.174	-0.151	0.230	6.185E-2	0.296	0.302
0.701	0.116	-8.474E-3	0.117	0.168	-0.126	0.210	-0.769	2.760	2.865
0.717	0.119	-9.944E-3	0.119	0.149	-5.173E-2	0.158	-0.890	3.793	3.896
0.734	0.121	-1.020E-2	0.122	0.135	3.342E-3	0.135	-0.360	2.953	2.974
0.751	0.123	-9.832E-3	0.124	0.139	4.382E-2	0.146	-8.378E-2	1.693	1.695
0.767	0.126	-8.738E-3	0.126	0.134	6.365E-2	0.149	0.429	0.657	0.784
0.784	0.128	-7.709E-3	0.128	0.148	6.202E-2	0.160	0.469	-0.768	0.900
0.801	0.131	-6.669E-3	0.131	0.159	4.138E-2	0.164	0.565	-0.812	0.989
0.817	0.133	-6.328E-3	0.133	0.159	2.783E-2	0.162	2.402E-2	-0.844	0.845
0.834	0.136	-5.740E-3	0.136	0.164	2.043E-2	0.166	0.300	-0.911	0.960
0.851	0.139	-5.646E-3	0.139	0.165	-6.185E-3	0.165	8.051E-2	-1.290	1.293
0.868	0.142	-5.946E-3	0.142	0.170	-2.314E-2	0.171	0.288	-0.856	0.904
0.884	0.144	-6.418E-3	0.145	0.173	-3.376E-2	0.176	-5.783E-2	-0.579	0.582
0.901	0.147	-7.073E-3	0.148	0.170	-4.279E-2	0.176	9.906E-2	-0.698	0.705
0.918	0.150	-7.846E-3	0.150	0.172	-5.592E-2	0.181	-0.212	0.413	0.464
0.934	0.153	-8.939E-3	0.153	0.169	-3.551E-2	0.172	-0.575	2.423	2.490
0.951	0.156	-9.031E-3	0.156	0.149	2.982E-2	0.152	-1.283	2.944	3.211
0.968	0.158	-7.944E-3	0.158	0.128	6.811E-2	0.145	-0.814	1.506	1.712
0.984	0.160	-6.758E-3	0.160	0.118	7.527E-2	0.140	-2.267E-2	0.655	0.656
1.001	0.162	-5.432E-3	0.162	0.130	8.935E-2	0.157	0.535	0.122	0.549
