	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	2.504E-3	2.719E-3	3.697E-3						
0.017	3.346E-3	4.448E-3	5.567E-3	7.589E-2	9.955E-2	0.125			
0.033	5.037E-3	6.041E-3	7.865E-3	8.793E-2	7.322E-2	0.114	-9.404E-2	-1.549	1.551
0.050	6.280E-3	6.891E-3	9.324E-3	6.645E-2	4.321E-2	7.926E-2	-0.366	-1.456	1.501
0.067	7.254E-3	7.483E-3	1.042E-2	7.321E-2	2.684E-2	7.797E-2	0.728	-0.742	1.040
0.083	8.723E-3	7.787E-3	1.169E-2	9.514E-2	1.724E-2	9.669E-2	0.731	-0.625	0.961
0.100	1.043E-2	8.058E-3	1.318E-2	9.808E-2	8.101E-3	9.842E-2	0.207	-1.098	1.118
0.117	1.200E-2	8.057E-3	1.445E-2	9.912E-2	-1.890E-2	0.101	-3.132E-2	-1.883	1.883
0.133	1.374E-2	7.427E-3	1.562E-2	9.976E-2	-5.630E-2	0.115	0.149	-1.767	1.773
0.150	1.532E-2	6.179E-3	1.652E-2	0.101	-7.977E-2	0.129	-0.206	-1.195	1.213
0.167	1.711E-2	4.766E-3	1.776E-2	9.674E-2	-9.366E-2	0.135	-0.228	-0.513	0.562
0.184	1.855E-2	3.054E-3	1.880E-2	8.933E-2	-9.923E-2	0.134	-0.192	0.230	0.300
0.200	2.009E-2	1.455E-3	2.015E-2	9.266E-2	-8.524E-2	0.126	0.158	0.740	0.757
0.217	2.164E-2	2.096E-4	2.164E-2	9.410E-2	-7.231E-2	0.119	0.699	1.188	1.378
0.234	2.323E-2	-9.581E-4	2.325E-2	0.114	-4.939E-2	0.124	0.604	1.034	1.197
0.250	2.544E-2	-1.438E-3	2.548E-2	0.121	-3.183E-2	0.125	0.496	0.530	0.726
0.267	2.727E-2	-2.020E-3	2.734E-2	0.123	-3.543E-2	0.128	-0.494	1.479	1.559
0.284	2.953E-2	-2.621E-3	2.964E-2	0.113	1.107E-2	0.113	-0.646	2.858	2.930
0.300	3.103E-2	-1.651E-3	3.108E-2	9.251E-2	7.155E-2	0.117	-0.823	1.995	2.158
0.317	3.261E-2	-2.332E-4	3.261E-2	8.987E-2	7.603E-2	0.118	-0.127	0.189	0.227
0.334	3.403E-2	8.858E-4	3.404E-2	8.646E-2	7.258E-2	0.113	3.349E-2	0.229	0.232
0.350	3.550E-2	2.189E-3	3.556E-2	9.148E-2	8.548E-2	0.125	-0.205	0.115	0.235
0.367	3.709E-2	3.738E-3	3.727E-2	8.236E-2	7.963E-2	0.115	0.698	-0.480	0.847
0.384	3.824E-2	4.846E-3	3.855E-2	0.105	6.484E-2	0.124	0.848	-1.036	1.338
0.400	4.060E-2	5.901E-3	4.103E-2	0.125	4.862E-2	0.134	6.076E-2	-1.401	1.402
0.417	4.242E-2	6.468E-3	4.291E-2	9.905E-2	1.661E-2	0.100	-3.434E-2	-1.519	1.519
0.434	4.391E-2	6.455E-3	4.438E-2	0.119	-4.404E-3	0.119	0.175	-0.672	0.694
0.450	4.640E-2	6.321E-3	4.682E-2	0.119	-4.825E-3	0.119	0.448	0.800	0.917
0.467	4.788E-2	6.294E-3	4.829E-2	0.117	2.056E-2	0.119	-0.277	1.181	1.213
0.484	5.031E-2	7.007E-3	5.079E-2	0.125	4.073E-2	0.132	-9.273E-2	0.422	0.432
0.501	5.206E-2	7.653E-3	5.262E-2	0.104	3.187E-2	0.109	-0.275	-0.537	0.603
0.517	5.379E-2	8.071E-3	5.439E-2	0.117	2.163E-2	0.119	0.737	-0.517	0.901
0.534	5.596E-2	8.375E-3	5.658E-2	0.132	1.509E-2	0.133	0.371	-0.528	0.645
0.551	5.821E-2	8.574E-3	5.884E-2	0.129	4.649E-3	0.129	-2.296E-2	-0.507	0.507
0.567	6.026E-2	8.530E-3	6.086E-2	0.129	-3.339E-3	0.129	0.305	-0.398	0.501
0.584	6.250E-2	8.463E-3	6.307E-2	0.141	-7.323E-3	0.141	0.256	-0.422	0.493
0.601	6.496E-2	8.286E-3	6.548E-2	0.139	-1.729E-2	0.140	-0.248	-0.806	0.843
0.617	6.715E-2	7.886E-3	6.762E-2	0.130	-3.421E-2	0.134	-0.559	-1.605	1.700
0.634	6.928E-2	7.145E-3	6.965E-2	0.122	-6.927E-2	0.140	-0.416	-1.819	1.866
0.651	7.123E-2	5.575E-3	7.144E-2	0.115	-9.974E-2	0.152	-0.513	-0.980	1.106
0.667	7.311E-2	3.817E-3	7.321E-2	0.106	-0.101	0.146	-0.185	1.095	1.110
0.684	7.477E-2	2.214E-3	7.480E-2	0.106	-6.545E-2	0.125	8.149E-2	2.242	2.244
0.701	7.664E-2	1.633E-3	7.666E-2	0.112	-1.994E-2	0.114	0.314	2.015	2.039
0.717	7.850E-2	1.549E-3	7.851E-2	0.115	8.336E-4	0.115	-2.299E-2	0.771	0.772
0.734	8.047E-2	1.661E-3	8.049E-2	0.113	5.502E-3	0.113	0.369	0.115	0.387
0.751	8.227E-2	1.733E-3	8.229E-2	0.123	3.603E-3	0.123	0.452	-0.565	0.724
0.767	8.457E-2	1.781E-3	8.459E-2	0.134	-1.135E-2	0.134	-7.064E-2	-0.529	0.534
0.784	8.673E-2	1.354E-3	8.674E-2	0.119	-1.896E-2	0.120	-0.252	-0.368	0.446
0.801	8.853E-2	1.148E-3	8.854E-2	0.121	-1.878E-2	0.122	0.458	0.173	0.489
0.817	9.077E-2	7.275E-4	9.077E-2	0.139	-1.714E-2	0.140	0.479	7.229E-2	0.484
0.834	9.316E-2	5.764E-4	9.316E-2	0.137	-1.263E-2	0.138	-0.244	0.289	0.378
0.851	9.535E-2	3.062E-4	9.535E-2	0.129	-1.050E-2	0.129	-0.310	9.225E-2	0.323
0.868	9.745E-2	2.261E-4	9.745E-2	0.127	-7.083E-3	0.127	5.150E-2	0.324	0.328
0.884	9.958E-2	6.987E-5	9.958E-2	0.131	-2.177E-3	0.131	0.230	0.290	0.370
0.901	0.102	1.535E-4	0.102	0.135	4.971E-3	0.135	0.276	8.977E-2	0.291
0.918	0.104	2.357E-4	0.104	0.139	4.241E-4	0.139	0.650	-0.129	0.662
0.934	0.106	1.676E-4	0.106	0.155	-1.042E-3	0.155	-0.615	0.316	0.692
0.951	0.109	2.009E-4	0.109	0.128	1.116E-2	0.128	-0.292	1.388	1.418
0.968	0.111	5.399E-4	0.111	0.127	4.405E-2	0.134	-0.640	2.011	2.110
0.984	0.113	1.671E-3	0.113	0.129	8.173E-2	0.153	-0.232	1.511	1.529
1.001	0.115	3.267E-3	0.115	0.101	9.514E-2	0.139	-1.074	1.646E-2	1.074
1.018	0.117	4.845E-3	0.117	0.102	8.195E-2	0.131	-0.435	-1.188	1.265
1.034	0.118	6.001E-3	0.119	8.435E-2	5.414E-2	0.100	0.254	-1.343	1.367
1.051	0.120	6.652E-3	0.120	0.105	3.515E-2	0.111	0.842	-1.332	1.576
1.068	0.122	7.174E-3	0.122	0.124	1.332E-2	0.125	0.300	-1.123	1.162
1.084	0.124	7.096E-3	0.124	0.108	-6.635E-3	0.108	-0.294	-0.734	0.791
1.101	0.126	6.953E-3	0.126	0.113	-9.085E-3	0.113	0.461	-0.428	0.629
1.118	0.128	6.793E-3	0.128	0.126	-1.937E-2	0.128	1.095	-1.251	1.662
1.134	0.130	6.307E-3	0.130	0.147	-5.050E-2	0.155	-0.289	-1.474	1.502
1.151	0.132	5.108E-3	0.133	0.126	-7.307E-2	0.146	-0.609	3.018E-2	0.609
1.168	0.134	3.868E-3	0.134	0.111	-5.024E-2	0.121	-0.581	1.460	1.572
1.185	0.136	3.432E-3	0.136	0.120	-1.840E-2	0.121	0.242	1.505	1.525
