	mass C									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-1.590E-3	-4.668E-3	4.932E-3						
0.017	-3.755E-4	-4.638E-3	4.653E-3	8.479E-2	4.375E-4	8.479E-2			
0.033	1.239E-3	-4.654E-3	4.816E-3	9.620E-2	5.243E-3	9.634E-2	2.401E-3	1.686	1.686
0.050	2.834E-3	-4.463E-3	5.287E-3	8.457E-2	5.276E-2	9.968E-2	-1.251	2.896	3.155
0.067	4.061E-3	-2.893E-3	4.986E-3	5.414E-2	0.110	0.123	-1.425	2.446	2.831
0.083	4.641E-3	-7.772E-4	4.705E-3	3.327E-2	0.132	0.136	-0.216	0.922	0.947
0.100	5.171E-3	1.523E-3	5.391E-3	4.709E-2	0.140	0.148	-0.226	-0.678	0.714
0.117	6.212E-3	3.899E-3	7.334E-3	3.434E-2	0.114	0.119	0.135	-1.287	1.294
0.133	6.317E-3	5.317E-3	8.257E-3	3.698E-2	8.822E-2	9.566E-2	0.282	-1.112	1.147
0.150	7.446E-3	6.842E-3	1.011E-2	5.792E-2	8.283E-2	0.101	0.836	-0.500	0.974
0.167	8.249E-3	8.081E-3	1.155E-2	5.651E-2	6.934E-2	8.945E-2	-6.032E-2	-1.068	1.070
0.184	9.332E-3	9.156E-3	1.307E-2	6.034E-2	4.919E-2	7.785E-2	0.313	-1.147	1.189
0.200	1.026E-2	9.723E-3	1.414E-2	6.337E-2	2.823E-2	6.937E-2	0.453	-1.000	1.098
0.217	1.145E-2	1.010E-2	1.526E-2	7.734E-2	1.712E-2	7.922E-2	0.575	-1.074	1.218
0.234	1.284E-2	1.029E-2	1.646E-2	8.336E-2	-5.822E-3	8.356E-2	0.557	-1.769	1.855
0.250	1.423E-2	9.903E-3	1.733E-2	9.342E-2	-4.331E-2	0.103	0.316	-1.350	1.387
0.267	1.596E-2	8.849E-3	1.825E-2	9.780E-2	-5.520E-2	0.112	-0.211	-0.692	0.724
0.284	1.749E-2	8.061E-3	1.926E-2	8.423E-2	-5.952E-2	0.103	6.009E-2	0.248	0.255
0.300	1.877E-2	6.863E-3	1.999E-2	9.581E-2	-5.414E-2	0.110	0.133	0.795	0.806
0.317	2.069E-2	6.255E-3	2.161E-2	9.764E-2	-2.746E-2	0.101	0.109	1.228	1.233
0.334	2.203E-2	5.946E-3	2.282E-2	9.036E-2	-1.379E-2	9.141E-2	-0.192	0.429	0.470
0.350	2.370E-2	5.795E-3	2.440E-2	9.702E-2	-1.258E-2	9.783E-2	0.299	-0.185	0.352
0.367	2.527E-2	5.527E-3	2.586E-2	9.743E-2	-2.095E-2	9.966E-2	6.925E-2	-0.386	0.393
0.384	2.695E-2	5.096E-3	2.743E-2	0.101	-2.630E-2	0.104	0.272	0.177	0.325
0.400	2.863E-2	4.649E-3	2.901E-2	0.105	-1.601E-2	0.106	-0.326	0.928	0.983
0.417	3.047E-2	4.561E-3	3.081E-2	9.369E-2	6.160E-3	9.389E-2	-0.324	0.992	1.044
0.434	3.176E-2	4.855E-3	3.213E-2	8.771E-2	1.866E-2	8.967E-2	-0.357	0.496	0.611
0.450	3.339E-2	5.184E-3	3.379E-2	8.837E-2	2.120E-2	9.088E-2	0.180	-0.441	0.476
0.467	3.471E-2	5.562E-3	3.515E-2	8.820E-2	6.507E-3	8.844E-2	3.933E-2	-0.954	0.955
0.484	3.634E-2	5.401E-3	3.673E-2	9.419E-2	-1.473E-2	9.534E-2	0.367	-1.325	1.374
0.501	3.785E-2	5.070E-3	3.819E-2	9.722E-2	-3.471E-2	0.103	0.139	-0.988	0.998
0.517	3.958E-2	4.243E-3	3.981E-2	0.101	-5.103E-2	0.114	0.678	-0.848	1.086
0.534	4.124E-2	3.368E-3	4.137E-2	0.116	-6.017E-2	0.131	0.529	-0.470	0.708
0.551	4.345E-2	2.235E-3	4.350E-2	0.125	-6.862E-2	0.143	0.116	1.079	1.086
0.567	4.541E-2	1.078E-3	4.543E-2	0.116	-2.902E-2	0.119	-0.568	1.988	2.068
0.584	4.731E-2	1.267E-3	4.732E-2	0.108	9.595E-3	0.108	-0.664	1.255	1.420
