	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-1.211E-3	3.266E-3	3.484E-3						
0.017	5.678E-4	2.814E-3	2.871E-3	0.105	-2.713E-2	0.109			
0.033	2.302E-3	2.361E-3	3.298E-3	0.119	1.133E-2	0.120	0.325	2.604	2.624
0.050	4.543E-3	3.192E-3	5.553E-3	0.122	6.813E-2	0.140	0.172	1.789	1.797
0.067	6.385E-3	4.634E-3	7.890E-3	0.118	7.271E-2	0.139	-0.292	-0.649	0.712
0.083	8.487E-3	5.618E-3	1.018E-2	0.118	4.230E-2	0.125	-0.118	-1.374	1.379
0.100	1.031E-2	6.046E-3	1.195E-2	0.111	2.426E-2	0.113	-0.101	-0.658	0.666
0.117	1.218E-2	6.427E-3	1.377E-2	0.115	2.240E-2	0.118	0.341	-0.524	0.625
0.133	1.416E-2	6.793E-3	1.571E-2	0.122	8.715E-3	0.123	0.594	-1.068	1.222
0.150	1.626E-2	6.718E-3	1.760E-2	0.134	-1.538E-2	0.135	0.400	-1.004	1.081
0.167	1.865E-2	6.280E-3	1.968E-2	0.138	-2.605E-2	0.141	-0.198	-0.563	0.597
0.184	2.088E-2	5.849E-3	2.168E-2	0.126	-3.170E-2	0.130	-0.210	-1.158	1.177
0.200	2.286E-2	5.222E-3	2.345E-2	0.129	-6.279E-2	0.143	-0.394	-1.338	1.395
0.217	2.517E-2	3.754E-3	2.545E-2	0.120	-8.338E-2	0.146	-0.264	-0.238	0.355
0.234	2.685E-2	2.440E-3	2.696E-2	0.112	-6.741E-2	0.130	8.101E-2	1.199	1.202
0.250	2.889E-2	1.505E-3	2.893E-2	0.127	-4.271E-2	0.134	0.955	1.537	1.810
0.267	3.110E-2	1.015E-3	3.111E-2	0.142	-1.584E-2	0.143	0.124	1.262	1.268
0.284	3.363E-2	9.759E-4	3.364E-2	0.136	8.744E-4	0.136	9.054E-2	0.614	0.620
0.300	3.562E-2	1.044E-3	3.564E-2	0.137	3.682E-3	0.137	0.363	-0.263	0.449
0.317	3.819E-2	1.099E-3	3.821E-2	0.155	-7.028E-3	0.155	0.370	-0.568	0.678
0.334	4.079E-2	8.099E-4	4.080E-2	0.148	-1.805E-2	0.149	0.426	-0.539	0.687
0.350	4.313E-2	4.964E-4	4.313E-2	0.163	-2.314E-2	0.165	0.707	-5.707E-2	0.709
0.367	4.624E-2	3.784E-5	4.624E-2	0.180	-2.189E-2	0.182	0.724	3.792E-2	0.725
0.384	4.914E-2	-2.342E-4	4.914E-2	0.181	-1.924E-2	0.182	-0.419	6.748E-2	0.425
0.400	5.229E-2	-6.040E-4	5.229E-2	0.172	-2.139E-2	0.173	-0.212	-0.506	0.548
0.417	5.487E-2	-9.479E-4	5.488E-2	0.167	-3.361E-2	0.170	8.338E-2	-6.112E-2	0.103
0.434	5.785E-2	-1.725E-3	5.788E-2	0.180	-2.967E-2	0.183	8.979E-3	3.607E-2	3.717E-2
0.450	6.088E-2	-1.938E-3	6.091E-2	0.168	-2.409E-2	0.169	-0.267	0.760	0.806
0.467	6.344E-2	-2.529E-3	6.349E-2	0.165	-1.315E-2	0.166	-0.846	2.231	2.386
0.484	6.640E-2	-2.377E-3	6.644E-2	0.149	5.219E-2	0.158	-1.092	3.374	3.546
0.501	6.841E-2	-7.878E-4	6.841E-2	0.119	0.107	0.160	-0.642	1.614	1.737
0.517	7.038E-2	1.189E-3	7.039E-2	0.129	0.105	0.167	-0.555	-0.637	0.845
0.534	7.273E-2	2.720E-3	7.278E-2	0.109	8.158E-2	0.136	-0.549	-1.496	1.594
0.551	7.401E-2	3.911E-3	7.411E-2	9.744E-2	5.635E-2	0.113	-0.396	-0.693	0.798
0.567	7.598E-2	4.600E-3	7.612E-2	0.107	5.383E-2	0.120	0.394	-0.644	0.755
0.584	7.759E-2	5.707E-3	7.780E-2	0.104	4.381E-2	0.113	0.216	-0.469	0.517
0.601	7.944E-2	6.062E-3	7.967E-2	0.117	2.885E-2	0.121	0.516	-0.612	0.800
0.617	8.150E-2	6.670E-3	8.178E-2	0.122	2.974E-2	0.126	0.662	-0.651	0.928
0.634	8.351E-2	7.054E-3	8.381E-2	0.136	6.503E-3	0.136	-7.057E-2	-0.920	0.923
0.651	8.603E-2	6.887E-3	8.630E-2	0.128	-5.408E-3	0.128	0.468	-0.761	0.893
0.667	8.777E-2	6.874E-3	8.804E-2	0.138	-1.338E-2	0.138	0.650	-0.296	0.714
0.684	9.062E-2	6.440E-3	9.085E-2	0.163	-2.036E-2	0.165	0.443	0.312	0.542
0.701	9.322E-2	6.195E-3	9.342E-2	0.147	-1.446E-3	0.147	-0.112	0.970	0.977
0.717	9.552E-2	6.392E-3	9.573E-2	0.156	1.461E-2	0.156	-0.274	0.685	0.737
0.734	9.841E-2	6.682E-3	9.864E-2	0.148	1.994E-2	0.149	0.146	0.324	0.355
0.751	0.100	7.057E-3	0.101	0.147	2.533E-2	0.149	0.210	-9.261E-2	0.230
0.767	0.103	7.527E-3	0.104	0.166	1.866E-2	0.167	0.521	-0.382	0.646
0.784	0.106	7.680E-3	0.106	0.159	9.405E-3	0.160	0.186	-0.375	0.419
0.801	0.109	7.841E-3	0.109	0.171	7.844E-3	0.171	0.332	-0.492	0.593
0.817	0.112	7.941E-3	0.112	0.175	-5.881E-3	0.176	0.147	-0.835	0.848
0.834	0.114	7.645E-3	0.115	0.171	-2.248E-2	0.173	4.140E-2	-0.851	0.852
0.851	0.117	7.191E-3	0.118	0.179	-3.308E-2	0.182	-2.814E-3	-0.853	0.853
0.868	0.120	6.541E-3	0.121	0.173	-5.034E-2	0.180	-0.938	-0.135	0.948
0.884	0.123	5.512E-3	0.123	0.147	-4.271E-2	0.153	-0.494	0.877	1.006
0.901	0.125	5.116E-3	0.125	0.150	-1.524E-2	0.151	0.160	0.760	0.777
0.918	0.128	5.003E-3	0.128	0.161	-1.629E-2	0.162	9.269E-2	-2.779E-2	9.676E-2
0.934	0.131	4.573E-3	0.131	0.148	-2.081E-2	0.150	3.043E-2	0.264	0.266
0.951	0.133	4.309E-3	0.133	0.160	-6.089E-3	0.160	0.262	0.219	0.341
0.968	0.136	4.369E-3	0.136	0.164	-9.549E-3	0.164	0.511	-0.656	0.832
0.984	0.139	3.990E-3	0.139	0.169	-3.185E-2	0.172	0.219	-0.808	0.837
1.001	0.142	3.307E-3	0.142	0.179	-3.768E-2	0.183	0.362	-0.522	0.636
1.018	0.145	2.733E-3	0.145	0.176	-4.546E-2	0.182	0.390	-0.618	0.731
1.034	0.148	1.790E-3	0.148	0.192	-6.124E-2	0.202	0.628	-0.225	0.667
1.051	0.151	6.894E-4	0.151	0.201	-5.440E-2	0.208	0.290	0.729	0.785
1.068	0.154	-2.544E-5	0.154	0.199	-3.417E-2	0.202	-0.158	0.578	0.599
1.084	0.158	-4.506E-4	0.158	0.197	-3.319E-2	0.200	-0.111	-0.302	0.322
1.101	0.161	-1.133E-3	0.161	0.193	-4.684E-2	0.199	-2.866E-2	-0.519	0.520
1.118	0.164	-2.014E-3	0.164	0.197	-5.131E-2	0.203	0.144	0.146	0.205
1.134	0.167	-2.845E-3	0.167	0.199	-4.182E-2	0.203	-1.117	1.313	1.724
1.151	0.171	-3.409E-3	0.171	0.164	-8.973E-3	0.164	-1.747	2.103	2.734
1.168	0.173	-3.144E-3	0.173	0.130	3.201E-2	0.134	-1.112	1.796	2.112
1.185	0.175	-2.341E-3	0.175	0.132	5.153E-2	0.142	-4.542E-2	0.908	0.909
1.201	0.177	-1.425E-3	0.177	0.129	6.022E-2	0.143	-0.598	0.112	0.608
1.218	0.179	-3.317E-4	0.179	0.113	5.745E-2	0.127	-8.814E-2	-0.222	0.239
1.235	0.181	4.919E-4	0.181	0.120	4.969E-2	0.130	0.952	-0.545	1.097
1.251	0.183	1.326E-3	0.183	0.151	4.171E-2	0.157	-5.089E-2	-0.714	0.715
1.268	0.186	1.884E-3	0.186	0.124	2.470E-2	0.127	-0.188	-0.685	0.710
1.285	0.188	2.151E-3	0.188	0.127	1.736E-2	0.128	0.302	0.335	0.451
1.301	0.190	2.463E-3	0.190	0.153	3.517E-2	0.157	0.591	1.227	1.362
