	mass C									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	5.855E-4	-4.475E-4	7.369E-4						
0.017	1.907E-3	-1.171E-3	2.238E-3	9.468E-2	-4.887E-2	0.107			
0.033	3.745E-3	-2.078E-3	4.283E-3	0.105	-5.238E-2	0.117	0.498	9.992E-2	0.508
0.050	5.403E-3	-2.919E-3	6.141E-3	0.107	-4.496E-2	0.116	-7.294E-2	1.561	1.562
0.067	7.299E-3	-3.578E-3	8.129E-3	0.106	-4.105E-3	0.106	-0.588	2.243	2.319
0.083	8.947E-3	-3.056E-3	9.454E-3	8.565E-2	3.825E-2	9.381E-2	-0.612	1.262	1.402
0.100	1.016E-2	-2.302E-3	1.042E-2	8.179E-2	3.620E-2	8.945E-2	-0.131	-0.383	0.405
0.117	1.168E-2	-1.848E-3	1.182E-2	8.646E-2	2.257E-2	8.936E-2	0.555	-0.893	1.052
0.133	1.304E-2	-1.549E-3	1.313E-2	9.571E-2	7.791E-3	9.603E-2	0.636	-0.683	0.933
0.150	1.487E-2	-1.588E-3	1.495E-2	0.112	-2.423E-3	0.112	0.541	-0.367	0.654
0.167	1.678E-2	-1.630E-3	1.686E-2	0.113	-2.985E-3	0.113	0.201	3.294E-2	0.204
0.184	1.863E-2	-1.687E-3	1.871E-2	0.117	-1.690E-3	0.117	-8.474E-2	2.794E-2	8.922E-2
0.200	2.068E-2	-1.686E-3	2.075E-2	0.113	-1.293E-3	0.113	0.157	0.454	0.480
0.217	2.241E-2	-1.730E-3	2.247E-2	0.117	1.088E-2	0.117	-5.198E-2	1.544	1.545
0.234	2.458E-2	-1.323E-3	2.461E-2	0.118	5.054E-2	0.129	-0.374	1.587	1.631
0.250	2.636E-2	-4.405E-5	2.636E-2	9.999E-2	7.029E-2	0.122	-1.135	0.752	1.362
0.267	2.791E-2	1.022E-3	2.793E-2	8.185E-2	6.929E-2	0.107	-0.429	-0.159	0.458
0.284	2.909E-2	2.268E-3	2.918E-2	8.172E-2	6.834E-2	0.107	0.270	-0.598	0.656
0.300	3.064E-2	3.302E-3	3.082E-2	9.542E-2	4.867E-2	0.107	0.854	-0.988	1.306
0.317	3.227E-2	3.892E-3	3.250E-2	0.108	3.283E-2	0.113	0.676	-1.049	1.248
0.334	3.424E-2	4.398E-3	3.452E-2	0.120	1.678E-2	0.121	0.487	-0.886	1.011
0.350	3.628E-2	4.452E-3	3.655E-2	0.123	2.154E-4	0.123	9.230E-2	-1.797	1.800
0.367	3.835E-2	4.405E-3	3.860E-2	0.123	-3.722E-2	0.129	-0.279	-2.161	2.179
0.384	4.039E-2	3.210E-3	4.052E-2	0.115	-8.009E-2	0.140	-7.405E-2	-0.789	0.792
