	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	7.651E-4	-7.502E-4	1.072E-3						
0.017	3.184E-3	-1.703E-3	3.611E-3	0.133	-6.303E-2	0.147			
0.033	5.213E-3	-2.853E-3	5.942E-3	0.129	-7.275E-2	0.148	1.403	-3.476	3.748
0.050	7.499E-3	-4.130E-3	8.561E-3	0.178	-0.166	0.244	0.885	-3.634	3.740
0.067	1.116E-2	-8.405E-3	1.397E-2	0.176	-0.224	0.285	-0.351	-2.930	2.951
0.083	1.336E-2	-1.160E-2	1.769E-2	0.146	-0.236	0.277	-1.086	1.386E-2	1.086
0.100	1.603E-2	-1.627E-2	2.284E-2	0.151	-0.246	0.288	-0.487	0.181	0.519
0.117	1.840E-2	-1.979E-2	2.702E-2	0.127	-0.213	0.248	1.528	-4.776E-2	1.529
0.133	2.028E-2	-2.338E-2	3.095E-2	0.188	-0.248	0.311	1.445	-0.735	1.621
0.150	2.468E-2	-2.807E-2	3.738E-2	0.207	-0.251	0.326	-1.671	3.217	3.625
0.167	2.720E-2	-3.176E-2	4.181E-2	0.111	-0.139	0.178	-5.126	6.591	8.349
0.184	2.840E-2	-3.271E-2	4.332E-2	3.791E-2	-1.756E-2	4.178E-2	-2.479	4.767	5.373
0.200	2.846E-2	-3.234E-2	4.308E-2	2.195E-2	1.978E-2	2.955E-2	-1.733	2.395	2.957
0.217	2.913E-2	-3.205E-2	4.331E-2	-3.709E-3	5.124E-2	5.137E-2	-1.102	2.129	2.397
0.234	2.834E-2	-3.063E-2	4.173E-2	-3.204E-2	9.881E-2	0.104	-1.342	1.613	2.098
0.250	2.806E-2	-2.875E-2	4.018E-2	-3.524E-2	0.105	0.111	0.204	9.473E-2	0.225
0.267	2.716E-2	-2.712E-2	3.839E-2	-3.532E-2	9.788E-2	0.104	0.627	-0.571	0.848
0.284	2.688E-2	-2.549E-2	3.704E-2	-7.742E-3	8.858E-2	8.892E-2	0.975	-1.002	1.398
0.300	2.690E-2	-2.417E-2	3.616E-2	-2.263E-3	6.396E-2	6.400E-2	0.467	0.133	0.485
0.317	2.681E-2	-2.335E-2	3.555E-2	4.046E-3	8.483E-2	8.492E-2	0.362	2.594	2.619
0.334	2.704E-2	-2.134E-2	3.444E-2	1.329E-2	0.158	0.158	-0.446	4.410	4.433
0.350	2.725E-2	-1.809E-2	3.271E-2	-9.357E-3	0.232	0.232	-0.257	0.932	0.967
0.367	2.673E-2	-1.360E-2	2.999E-2	-5.152E-3	0.204	0.204	-0.265	-2.023	2.040
0.384	2.708E-2	-1.129E-2	2.934E-2	-4.039E-3	0.140	0.140	-7.727E-2	-0.818	0.822
0.400	2.659E-2	-8.922E-3	2.805E-2	-1.991E-2	0.181	0.182	1.157	-0.172	1.169
0.417	2.641E-2	-5.259E-3	2.693E-2	3.430E-2	0.154	0.158	2.125	-3.333	3.953
0.434	2.774E-2	-3.770E-3	2.799E-2	6.467E-2	5.095E-2	8.233E-2	-0.137	-4.631	4.633
0.450	2.857E-2	-3.559E-3	2.879E-2	2.295E-2	5.561E-5	2.295E-2	-0.907	-2.903	3.041
0.467	2.850E-2	-3.768E-3	2.875E-2	2.468E-2	-4.009E-2	4.708E-2	0.575	-1.797	1.887
0.484	2.939E-2	-4.897E-3	2.980E-2	5.413E-2	-6.619E-2	8.550E-2	0.269	-1.539	1.563
0.500	3.031E-2	-5.977E-3	3.089E-2	3.288E-2	-8.430E-2	9.048E-2	-0.717	-0.496	0.871
0.517	3.049E-2	-7.710E-3	3.145E-2	2.224E-2	-9.046E-2	9.315E-2	0.892	-0.430	0.990
0.534	3.105E-2	-8.995E-3	3.233E-2	6.456E-2	-9.016E-2	0.111	3.149	-2.368	3.940
0.551	3.265E-2	-1.072E-2	3.436E-2	0.130	-0.166	0.211	1.185	-1.749	2.113
0.567	3.538E-2	-1.454E-2	3.825E-2	0.116	-0.173	0.208	-1.349	1.243	1.835
0.584	3.652E-2	-1.648E-2	4.007E-2	6.651E-2	-0.102	0.121	-1.470	3.018	3.357
0.601	3.760E-2	-1.793E-2	4.165E-2	7.224E-2	-7.724E-2	0.106	7.055E-2	0.956	0.958
0.617	3.893E-2	-1.906E-2	4.335E-2	7.250E-2	-6.886E-2	9.999E-2	3.724E-2	0.634	0.635
0.634	4.002E-2	-2.023E-2	4.484E-2	6.952E-2	-5.946E-2	9.148E-2	0.445	0.352	0.567
0.651	4.125E-2	-2.104E-2	4.631E-2	8.781E-2	-5.317E-2	0.103	1.254	-6.406E-3	1.254
0.667	4.295E-2	-2.200E-2	4.826E-2	0.113	-6.192E-2	0.129	0.871	-0.818	1.195
0.684	4.502E-2	-2.311E-2	5.061E-2	0.119	-7.917E-2	0.143	-0.389	0.102	0.402
0.701	4.692E-2	-2.465E-2	5.300E-2	9.886E-2	-6.547E-2	0.119	-1.939	2.776	3.386
0.717	4.832E-2	-2.529E-2	5.454E-2	5.506E-2	1.523E-2	5.713E-2	-1.662	4.304	4.614
0.734	4.875E-2	-2.414E-2	5.440E-2	3.577E-2	8.718E-2	9.424E-2	-1.239	3.290	3.516
0.751	4.952E-2	-2.238E-2	5.434E-2	2.381E-2	0.120	0.123	-0.763	1.190	1.414
0.767	4.955E-2	-2.012E-2	5.348E-2	2.599E-3	0.130	0.130	-0.549	-0.111	0.560
0.784	4.960E-2	-1.806E-2	5.279E-2	8.077E-3	0.114	0.114	-0.404	-0.579	0.706
0.801	4.982E-2	-1.632E-2	5.242E-2	-6.771E-3	0.108	0.108	0.210	-0.873	0.898
0.817	4.938E-2	-1.446E-2	5.145E-2	4.338E-3	9.024E-2	9.034E-2	0.948	-1.223	1.547
0.834	4.996E-2	-1.331E-2	5.170E-2	3.632E-2	6.173E-2	7.162E-2	1.641	-1.754	2.402
0.851	5.059E-2	-1.240E-2	5.209E-2	5.283E-2	3.521E-2	6.349E-2	0.620	-1.740	1.847
0.868	5.173E-2	-1.213E-2	5.313E-2	6.211E-2	1.484E-3	6.213E-2	-0.227	-1.658	1.674
0.884	5.266E-2	-1.235E-2	5.409E-2	4.315E-2	-2.062E-2	4.783E-2	0.377	-0.979	1.049
0.901	5.317E-2	-1.282E-2	5.469E-2	6.669E-2	-3.072E-2	7.342E-2	-0.461	-0.336	0.571
0.918	5.489E-2	-1.338E-2	5.649E-2	4.789E-2	-3.184E-2	5.751E-2	1.618	-0.538	1.705
0.934	5.476E-2	-1.388E-2	5.649E-2	8.633E-2	-4.556E-2	9.761E-2	0.586	-0.858	1.039
0.951	5.777E-2	-1.490E-2	5.966E-2	0.112	-6.461E-2	0.129	0.960	-1.338	1.647
0.968	5.849E-2	-1.604E-2	6.065E-2	8.026E-2	-8.645E-2	0.118	-1.253	-0.743	1.456
0.984	6.044E-2	-1.778E-2	6.301E-2	9.354E-2	-9.540E-2	0.134	0.178	-0.170	0.246
1.001	6.162E-2	-1.922E-2	6.454E-2	7.380E-2	-8.678E-2	0.114	-0.485	0.524	0.714
1.018	6.291E-2	-2.068E-2	6.622E-2	8.117E-2	-8.042E-2	0.114	0.639	0.232	0.680
1.034	6.432E-2	-2.190E-2	6.795E-2	9.434E-2	-7.652E-2	0.121	0.682	-5.035E-2	0.684
1.051	6.605E-2	-2.323E-2	7.002E-2	0.106	-8.343E-2	0.135	0.322	0.110	0.340
1.068	6.785E-2	-2.469E-2	7.220E-2	0.105	-7.522E-2	0.129	-0.460	3.197	3.230
1.084	6.955E-2	-2.574E-2	7.416E-2	9.081E-2	1.592E-2	9.219E-2	-0.603	4.722	4.761
1.101	7.088E-2	-2.416E-2	7.489E-2	8.172E-2	0.102	0.131	-0.623	3.561	3.615
1.118	7.228E-2	-2.233E-2	7.565E-2	7.351E-2	0.123	0.144	-0.161	1.496	1.505
1.134	7.334E-2	-2.004E-2	7.602E-2	7.203E-2	0.153	0.169	-0.657	1.132	1.309
1.151	7.468E-2	-1.723E-2	7.664E-2	5.860E-2	0.164	0.174	0.755	-1.056	1.297
1.168	7.529E-2	-1.456E-2	7.669E-2	8.308E-2	0.120	0.146	1.236	-2.378	2.681
1.185	7.745E-2	-1.322E-2	7.857E-2	0.118	7.474E-2	0.140	1.126	-2.186	2.459
1.201	7.923E-2	-1.206E-2	8.014E-2	0.110	5.361E-2	0.123	-0.578	-1.322	1.443
1.218	8.113E-2	-1.143E-2	8.193E-2	0.103	2.820E-2	0.107	-0.470	-1.349	1.428
1.235	8.266E-2	-1.112E-2	8.341E-2	9.092E-2	9.466E-3	9.141E-2	-0.818	-1.174	1.431
1.251	8.416E-2	-1.112E-2	8.489E-2	7.857E-2	-1.068E-2	7.929E-2	0.325	-0.881	0.939
1.268	8.528E-2	-1.148E-2	8.605E-2	9.474E-2	-2.171E-2	9.720E-2	0.416	-0.278	0.500
1.285	8.732E-2	-1.184E-2	8.812E-2	0.104	-1.884E-2	0.106	1.003	0.340	1.059
1.301	8.877E-2	-1.211E-2	8.959E-2	0.115	-1.032E-2	0.116	0.386	0.471	0.610
1.318	9.116E-2	-1.219E-2	9.197E-2	0.130	-2.292E-3	0.130	-0.232	-0.262	0.350
1.335	9.311E-2	-1.218E-2	9.390E-2	0.102	-1.673E-2	0.103	0.201	-2.051	2.060
1.351	9.455E-2	-1.274E-2	9.541E-2	0.128	-7.061E-2	0.147	0.288	-2.851	2.866
1.368	9.739E-2	-1.454E-2	9.847E-2	0.131	-0.118	0.176	2.459E-2	-2.118	2.119
1.385	9.892E-2	-1.670E-2	0.100	0.109	-0.138	0.176	-0.546	-0.570	0.790
1.401	0.101	-1.914E-2	0.103	0.124	-0.139	0.186	0.438	0.741	0.860
1.418	0.103	-2.135E-2	0.105	0.120	-0.113	0.165	1.161	1.451	1.858
1.435	0.105	-2.290E-2	0.108	0.158	-8.723E-2	0.180	0.874	2.618	2.760
1.451	0.108	-2.426E-2	0.111	0.165	-3.335E-2	0.168	-0.392	3.224	3.247
1.468	0.111	-2.402E-2	0.113	0.131	3.087E-2	0.135	-1.362	2.395	2.755
1.485	0.113	-2.323E-2	0.115	0.123	4.471E-2	0.131	0.199	0.111	0.228
1.501	0.115	-2.252E-2	0.117	0.135	3.291E-2	0.139	-0.101	-0.810	0.817
1.518	0.117	-2.213E-2	0.119	0.128	1.636E-2	0.129	-9.241E-2	-1.000	1.005
1.535	0.119	-2.198E-2	0.121	0.121	1.168E-4	0.121	-0.482	-0.714	0.861
1.552	0.121	-2.213E-2	0.123	0.122	-9.027E-3	0.122	0.407	-0.307	0.509
1.568	0.123	-2.228E-2	0.125	0.126	-8.876E-3	0.126	-0.223	0.180	0.286
1.585	0.125	-2.242E-2	0.127	0.124	-3.651E-3	0.124	-0.545	0.343	0.644
1.602	0.127	-2.240E-2	0.129	0.100	3.633E-3	0.100			
1.618	0.129	-2.230E-2	0.131						
