	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-3.506E-4	-1.709E-3	1.745E-3						
0.017	-3.680E-3	-3.314E-3	4.952E-3	-0.162	-5.514E-2	0.171			
0.033	-5.758E-3	-3.549E-3	6.764E-3	-0.111	-1.157E-2	0.112	-0.509	0.327	0.605
0.050	-7.382E-3	-3.700E-3	8.257E-3	-0.170	-4.435E-2	0.176	-1.256	-0.207	1.273
0.067	-1.143E-2	-5.029E-3	1.249E-2	-0.184	-3.524E-2	0.187	0.962	1.750	1.998
0.083	-1.352E-2	-4.876E-3	1.437E-2	-0.113	2.894E-2	0.116	3.068	1.683	3.499
0.100	-1.519E-2	-4.063E-3	1.572E-2	-8.817E-2	2.381E-2	9.133E-2	1.600	8.041E-2	1.602
0.117	-1.646E-2	-4.082E-3	1.696E-2	-5.995E-2	1.881E-2	6.283E-2	2.408	1.006	2.610
0.133	-1.719E-2	-3.435E-3	1.753E-2	-9.664E-3	6.316E-2	6.390E-2	0.936	0.841	1.258
0.150	-1.679E-2	-1.974E-3	1.690E-2	-1.566E-2	5.555E-2	5.772E-2	0.330	-0.657	0.736
0.167	-1.771E-2	-1.582E-3	1.778E-2	-1.998E-2	2.797E-2	3.437E-2	-0.676	-1.183	1.363
0.184	-1.745E-2	-1.041E-3	1.748E-2	-1.762E-2	2.322E-2	2.915E-2	-0.493	-0.695	0.852
0.200	-1.830E-2	-8.069E-4	1.832E-2	-5.099E-2	3.080E-3	5.108E-2	-2.871	-1.592	3.283
0.217	-1.915E-2	-9.385E-4	1.918E-2	-0.102	-2.876E-2	0.106	-3.971	-2.474	4.679
0.234	-2.169E-2	-1.766E-3	2.176E-2	-0.192	-7.957E-2	0.208	-1.719	-1.448	2.247
0.250	-2.556E-2	-3.593E-3	2.582E-2	-0.172	-8.599E-2	0.192	-2.399	-1.102	2.640
0.267	-2.742E-2	-4.636E-3	2.781E-2	-0.232	-9.998E-2	0.253	-1.242	-0.312	1.281
0.284	-3.330E-2	-6.929E-3	3.402E-2	-0.268	-0.114	0.292	-0.252	-0.199	0.321
0.300	-3.638E-2	-8.435E-3	3.734E-2	-0.197	-9.397E-2	0.218	3.085	0.358	3.105
0.317	-3.988E-2	-1.006E-2	4.113E-2	-0.185	-0.105	0.213	2.122	1.220	2.448
0.334	-4.254E-2	-1.195E-2	4.419E-2	-0.123	-6.214E-2	0.137	1.043	1.166	1.564
0.350	-4.397E-2	-1.214E-2	4.562E-2	-0.136	-4.588E-2	0.143	0.536	1.061	1.189
0.367	-4.708E-2	-1.348E-2	4.897E-2	-0.132	-4.836E-2	0.141	1.305	0.498	1.397
0.384	-4.838E-2	-1.375E-2	5.030E-2	-7.076E-2	-1.538E-2	7.242E-2	1.258	1.527	1.978
0.400	-4.944E-2	-1.399E-2	5.138E-2	-9.173E-2	-3.262E-3	9.178E-2	-0.571	0.642	0.859
0.417	-5.144E-2	-1.386E-2	5.327E-2	-0.102	8.905E-3	0.102	-0.266	0.392	0.474
0.434	-5.283E-2	-1.369E-2	5.457E-2	-9.032E-2	8.736E-3	9.074E-2	3.051	1.224	3.287
0.450	-5.445E-2	-1.357E-2	5.612E-2	-1.601E-2	4.399E-2	4.682E-2	2.696	0.548	2.751
0.467	-5.336E-2	-1.223E-2	5.474E-2	2.914E-2	4.300E-2	5.194E-2	0.764	-0.828	1.127
0.484	-5.348E-2	-1.213E-2	5.484E-2	-1.187E-2	1.068E-3	1.191E-2	-2.113	-1.519	2.602
0.501	-5.376E-2	-1.219E-2	5.512E-2	-3.490E-2	-3.545E-3	3.508E-2	-2.986	-1.489	3.336
0.517	-5.465E-2	-1.225E-2	5.600E-2	-0.108	-4.251E-2	0.116	-3.071	-2.551	3.992
0.534	-5.737E-2	-1.361E-2	5.896E-2	-0.152	-9.741E-2	0.181	-2.522	-1.872	3.140
0.551	-5.972E-2	-1.550E-2	6.170E-2	-0.176	-0.105	0.205	-2.585E-2	-0.410	0.411
0.567	-6.325E-2	-1.712E-2	6.553E-2	-0.170	-0.105	0.200	-1.114	-0.657	1.294
0.584	-6.541E-2	-1.901E-2	6.811E-2	-0.188	-0.129	0.228	-2.089	-1.151	2.385
0.601	-6.953E-2	-2.141E-2	7.275E-2	-0.261	-0.146	0.299	-1.099	0.182	1.114
0.617	-7.411E-2	-2.390E-2	7.787E-2	-0.227	-0.125	0.259	2.713	1.099	2.927
0.634	-7.711E-2	-2.557E-2	8.124E-2	-0.158	-0.102	0.188	4.044	2.205	4.606
0.651	-7.938E-2	-2.730E-2	8.395E-2	-9.826E-2	-6.120E-2	0.116	0.192	1.149	1.164
0.667	-8.039E-2	-2.761E-2	8.500E-2	-0.133	-4.718E-2	0.141	0.443	0.994	1.089
0.684	-8.383E-2	-2.888E-2	8.867E-2	-0.122	-4.651E-2	0.130	1.104	0.861	1.400
0.701	-8.445E-2	-2.916E-2	8.935E-2	-5.884E-2	-7.382E-3	5.930E-2	1.604	1.371	2.110
0.717	-8.580E-2	-2.912E-2	9.060E-2	-8.578E-2	-1.586E-3	8.579E-2	-0.985	0.158	0.998
0.734	-8.732E-2	-2.922E-2	9.207E-2	-9.029E-2	-4.767E-3	9.042E-2	-0.735	0.268	0.782
0.751	-8.881E-2	-2.928E-2	9.351E-2	-0.107	6.654E-3	0.107	0.368	0.568	0.677
0.767	-9.088E-2	-2.899E-2	9.539E-2	-8.823E-2	1.713E-2	8.988E-2	1.777	-0.142	1.783
0.784	-9.175E-2	-2.871E-2	9.614E-2	-3.694E-2	2.450E-3	3.702E-2	1.473	-0.510	1.559
0.801	-9.211E-2	-2.891E-2	9.654E-2	-3.754E-2	-5.047E-3	3.788E-2	-0.346	-0.268	0.438
0.817	-9.301E-2	-2.888E-2	9.739E-2	-5.503E-2	-1.841E-3	5.506E-2	-1.205	-0.965	1.544
0.834	-9.395E-2	-2.897E-2	9.832E-2	-7.350E-2	-3.514E-2	8.147E-2	-1.461	-1.413	2.033
0.851	-9.546E-2	-3.005E-2	0.100	-0.106	-5.784E-2	0.121	-2.499	-1.690	3.016
0.868	-9.749E-2	-3.090E-2	0.102	-0.154	-8.110E-2	0.174	-2.781	-1.048	2.972
0.884	-0.101	-3.276E-2	0.106	-0.204	-0.103	0.228	-1.947	-0.648	2.052
0.901	-0.104	-3.435E-2	0.110	-0.220	-9.618E-2	0.240	0.135	0.366	0.390
0.918	-0.108	-3.597E-2	0.114	-0.199	-9.296E-2	0.220	1.424	7.006E-2	1.426
0.934	-0.111	-3.746E-2	0.117	-0.168	-9.231E-2	0.192	1.468	0.276	1.493
0.951	-0.114	-3.905E-2	0.120	-0.151	-8.642E-2	0.174	0.630	0.946	1.137
0.968	-0.116	-4.034E-2	0.123	-0.147	-6.024E-2	0.159	0.121	1.730	1.735
0.984	-0.118	-4.106E-2	0.125	-0.148	-2.725E-2	0.151	9.324E-2	1.362	1.365
1.001	-0.121	-4.125E-2	0.128	-0.144	-1.263E-2	0.144	0.305	0.637	0.706
1.018	-0.123	-4.148E-2	0.130	-0.137	-9.192E-3	0.138	0.782	0.347	0.855
1.034	-0.125	-4.156E-2	0.132	-0.120	-2.391E-4	0.120	1.959	1.135	2.264
1.051	-0.127	-4.149E-2	0.134	-7.254E-2	2.617E-2	7.712E-2	1.831	1.226	2.204
1.068	-0.128	-4.068E-2	0.134	-5.030E-2	4.656E-2	6.854E-2	1.072	0.504	1.185
1.084	-0.129	-3.993E-2	0.135	-4.595E-2	4.010E-2	6.099E-2	0.446	0.192	0.485
1.101	-0.129	-3.934E-2	0.135	-3.039E-2	4.972E-2	5.827E-2	0.904	-0.268	0.943
1.118	-0.130	-3.827E-2	0.135	-1.866E-2	3.952E-2	4.370E-2	0.252	-0.798	0.837
1.134	-0.130	-3.803E-2	0.136	-1.807E-2	1.406E-2	2.290E-2	-0.676	-1.043	1.243
1.151	-0.131	-3.780E-2	0.136	-4.309E-2	8.685E-3	4.396E-2	-2.903	-1.137	3.118
1.168	-0.132	-3.774E-2	0.137	-0.111	-2.145E-2	0.113	-3.336	-1.637	3.716
1.185	-0.134	-3.852E-2	0.140	-0.166	-5.187E-2	0.174	-2.979	-1.649	3.405
1.201	-0.137	-3.947E-2	0.143	-0.200	-7.204E-2	0.212	-1.691	-1.218	2.084
1.218	-0.141	-4.092E-2	0.147	-0.230	-9.508E-2	0.249	0.155	-0.321	0.357
1.235	-0.145	-4.264E-2	0.151	-0.196	-8.530E-2	0.214	1.919	0.896	2.117
1.251	-0.147	-4.377E-2	0.154	-0.156	-6.016E-2	0.168	1.364	0.988	1.684
1.268	-0.150	-4.465E-2	0.156	-0.154	-5.266E-2	0.163	9.031E-2	0.520	0.528
1.285	-0.153	-4.553E-2	0.159	-0.154	-4.503E-2	0.161	0.824	0.931	1.243
1.301	-0.155	-4.615E-2	0.162	-0.130	-2.162E-2	0.131	0.810	1.312	1.542
1.318	-0.157	-4.625E-2	0.164	-0.119	1.114E-3	0.119	0.203	0.779	0.805
1.335	-0.159	-4.611E-2	0.166	-0.130	4.660E-3	0.130	0.241	0.215	0.323
1.351	-0.161	-4.609E-2	0.168	-0.111	5.647E-3	0.111	1.350	0.809	1.573
1.368	-0.163	-4.592E-2	0.169	-8.208E-2	3.052E-2	8.757E-2	1.513	1.037	1.834
1.385	-0.164	-4.508E-2	0.170	-6.105E-2	4.612E-2	7.651E-2	1.744	1.257	2.150
1.401	-0.165	-4.439E-2	0.171	-2.655E-2	6.484E-2	7.007E-2	0.817	-4.587E-2	0.818
1.418	-0.165	-4.291E-2	0.170	-2.457E-2	5.653E-2	6.164E-2	-0.454	-1.109	1.198
1.435	-0.166	-4.250E-2	0.171	-5.147E-2	1.656E-2	5.406E-2	-0.924	-1.726	1.958
1.451	-0.167	-4.236E-2	0.172	-5.333E-2	2.062E-3	5.337E-2	-0.329	-0.769	0.836
1.468	-0.167	-4.243E-2	0.173	-6.021E-2	-9.061E-3	6.088E-2	-2.020	-1.083	2.292
1.485	-0.169	-4.266E-2	0.174	-0.117	-3.195E-2	0.121	-2.936	-1.032	3.112
1.502	-0.171	-4.350E-2	0.177	-0.170	-4.823E-2	0.177	-1.459	-0.882	1.705
1.518	-0.174	-4.427E-2	0.180	-0.162	-5.679E-2	0.172	-0.895	-0.943	1.300
1.535	-0.177	-4.539E-2	0.182	-0.189	-8.094E-2	0.206	-0.131	-0.417	0.437
1.552	-0.181	-4.697E-2	0.187	-0.186	-7.585E-2	0.201	0.349	-9.651E-3	0.349
