	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	3.261E-3	-1.281E-3	3.504E-3						
0.017	6.127E-3	-4.800E-4	6.146E-3	0.163	5.851E-2	0.173			
0.033	8.697E-3	6.707E-4	8.723E-3	0.146	8.614E-2	0.170	-0.914	1.180	1.492
0.050	1.102E-2	2.394E-3	1.127E-2	0.132	0.102	0.167	-0.905	0.884	1.265
0.067	1.312E-2	4.058E-3	1.373E-2	0.117	0.111	0.161	-1.153	0.371	1.211
0.083	1.491E-2	6.100E-3	1.611E-2	9.422E-2	0.118	0.151	-1.633	0.623	1.748
0.100	1.626E-2	7.996E-3	1.812E-2	6.242E-2	0.127	0.142	-1.794	0.426	1.844
0.117	1.700E-2	1.034E-2	1.989E-2	3.267E-2	0.137	0.141	-1.052	-6.680E-2	1.055
0.133	1.735E-2	1.257E-2	2.143E-2	2.598E-2	0.123	0.126	0.392	-0.853	0.939
0.150	1.786E-2	1.446E-2	2.298E-2	4.648E-2	0.107	0.117	0.830	-0.815	1.163
0.167	1.890E-2	1.614E-2	2.486E-2	5.809E-2	9.664E-2	0.113	0.974	-0.806	1.264
0.184	1.980E-2	1.768E-2	2.655E-2	7.284E-2	8.133E-2	0.109	1.720	-1.364	2.195
0.200	2.133E-2	1.886E-2	2.847E-2	0.118	5.134E-2	0.128	2.571	-1.679	3.071
0.217	2.373E-2	1.940E-2	3.065E-2	0.161	2.277E-2	0.163	2.294	-1.336	2.654
0.234	2.670E-2	1.962E-2	3.313E-2	0.193	7.589E-3	0.193	1.402	-0.678	1.557
0.250	3.018E-2	1.965E-2	3.601E-2	0.209	1.368E-4	0.209	0.384	-0.229	0.447
0.267	3.369E-2	1.962E-2	3.899E-2	0.205	1.624E-5	0.205	-7.778E-2	-0.327	0.336
0.284	3.702E-2	1.965E-2	4.191E-2	0.204	-8.567E-3	0.205	2.895E-2	-0.585	0.586
0.300	4.051E-2	1.934E-2	4.489E-2	0.208	-2.220E-2	0.209	-0.446	-2.498E-3	0.446
0.317	4.397E-2	1.891E-2	4.786E-2	0.191	-1.033E-2	0.191	-0.914	0.954	1.321
0.334	4.688E-2	1.899E-2	5.058E-2	0.173	1.329E-2	0.174	-0.922	1.344	1.630
0.350	4.976E-2	1.935E-2	5.339E-2	0.163	3.310E-2	0.167	-0.720	1.470	1.637
0.367	5.233E-2	2.010E-2	5.606E-2	0.148	6.194E-2	0.160	-0.719	1.248	1.440
0.384	5.470E-2	2.142E-2	5.874E-2	0.139	7.823E-2	0.160	-0.798	0.740	1.088
