	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.262E-3	3.483E-4	1.309E-3						
0.017	2.497E-3	1.724E-3	3.034E-3	6.984E-2	9.543E-2	0.118			
0.033	3.592E-3	3.533E-3	5.038E-3	4.233E-2	9.341E-2	0.103	-1.778	-0.508	1.849
0.050	3.909E-3	4.841E-3	6.222E-3	6.267E-3	7.310E-2	7.337E-2	-1.193	-1.043	1.584
0.067	3.801E-3	5.972E-3	7.079E-3	1.128E-3	6.031E-2	6.032E-2	0.264	-0.768	0.812
0.083	3.947E-3	6.853E-3	7.908E-3	1.779E-2	4.693E-2	5.019E-2	0.995	-0.251	1.026
0.100	4.395E-3	7.537E-3	8.725E-3	3.471E-2	5.002E-2	6.088E-2	1.254	-0.141	1.261
0.117	5.105E-3	8.522E-3	9.934E-3	5.832E-2	4.730E-2	7.509E-2	1.384	-0.777	1.587
0.133	6.341E-3	9.116E-3	1.110E-2	8.299E-2	2.147E-2	8.572E-2	1.671	-0.974	1.934
0.150	7.874E-3	9.238E-3	1.214E-2	0.112	1.181E-2	0.112	1.520	-0.493	1.598
0.167	1.006E-2	9.510E-3	1.385E-2	0.137	9.301E-3	0.138	1.176	-0.394	1.240
0.184	1.245E-2	9.549E-3	1.569E-2	0.149	-3.186E-3	0.149	0.357	-0.366	0.511
0.200	1.503E-2	9.403E-3	1.773E-2	0.150	-4.163E-3	0.151	-0.103	4.282E-2	0.112
0.217	1.747E-2	9.410E-3	1.985E-2	0.144	3.406E-4	0.144	-0.744	-0.942	1.200
0.234	1.983E-2	9.415E-3	2.195E-2	0.127	-3.168E-2	0.131	-0.382	2.027E-2	0.383
0.250	2.173E-2	8.353E-3	2.328E-2	0.126	-1.505E-2	0.127	-0.524	0.607	0.802
0.267	2.403E-2	8.912E-3	2.563E-2	0.118	1.033E-2	0.119	-0.533	2.265	2.327
0.284	2.567E-2	8.697E-3	2.711E-2	0.100	3.947E-2	0.108	-1.022	0.988	1.421
0.300	2.738E-2	1.023E-2	2.923E-2	8.928E-2	6.536E-2	0.111	-0.401	0.394	0.562
0.317	2.865E-2	1.088E-2	3.065E-2	8.225E-2	3.775E-2	9.050E-2	-0.516	-0.106	0.527
0.334	3.012E-2	1.149E-2	3.224E-2	7.715E-2	6.170E-2	9.879E-2	-1.104	-1.716E-2	1.104
0.350	3.123E-2	1.294E-2	3.380E-2	4.452E-2	4.979E-2	6.679E-2	-1.583	-0.386	1.630
0.367	3.161E-2	1.315E-2	3.423E-2	2.011E-2	3.193E-2	3.774E-2	-0.485	1.024	1.133
0.384	3.190E-2	1.400E-2	3.483E-2	2.899E-2	8.925E-2	9.384E-2	0.102	0.817	0.823
0.400	3.257E-2	1.613E-2	3.635E-2	2.891E-2	7.488E-2	8.026E-2	0.312	-0.155	0.349
0.417	3.286E-2	1.650E-2	3.677E-2	3.223E-2	5.843E-2	6.673E-2	0.644	-1.140	1.309
0.434	3.365E-2	1.808E-2	3.820E-2	5.524E-2	5.965E-2	8.130E-2	1.507	-1.286	1.981
0.450	3.470E-2	1.849E-2	3.932E-2	8.021E-2	3.431E-3	8.028E-2	1.434	-2.683	3.042
0.467	3.633E-2	1.819E-2	4.063E-2	0.106	-2.934E-2	0.110	1.518	-0.585	1.626
0.484	3.823E-2	1.751E-2	4.205E-2	0.129	-1.937E-2	0.130	0.899	0.370	0.972
0.501	4.062E-2	1.755E-2	4.425E-2	0.139	-7.812E-3	0.139	0.627	-8.458E-2	0.633
0.517	4.287E-2	1.725E-2	4.621E-2	0.145	-2.677E-2	0.147	0.235	-0.233	0.331
0.534	4.546E-2	1.665E-2	4.841E-2	0.151	-1.916E-2	0.152	7.092E-2	0.750	0.754
0.551	4.791E-2	1.661E-2	5.071E-2	0.145	3.490E-3	0.145	-0.463	1.039	1.137
0.567	5.030E-2	1.677E-2	5.302E-2	0.136	1.413E-2	0.137	-0.759	-0.292	0.813
0.584	5.247E-2	1.708E-2	5.518E-2	0.120	-2.679E-3	0.120	-1.001	-0.840	1.307
0.601	5.429E-2	1.668E-2	5.680E-2	0.102	-2.115E-2	0.104	-0.659	1.995	2.101
0.617	5.587E-2	1.638E-2	5.822E-2	9.680E-2	5.709E-2	0.112	-0.238	2.480	2.492
0.634	5.752E-2	1.858E-2	6.045E-2	9.614E-2	8.886E-2	0.131	-0.323	0.773	0.838
0.651	5.908E-2	1.934E-2	6.217E-2	8.605E-2	5.796E-2	0.104	-0.990	-0.455	1.090
0.667	6.039E-2	2.052E-2	6.378E-2	6.350E-2	8.184E-2	0.104	-1.170	-6.299E-2	1.172
0.684	6.120E-2	2.207E-2	6.506E-2	4.435E-2	6.180E-2	7.606E-2	-1.233	-1.316	1.803
0.701	6.187E-2	2.258E-2	6.586E-2	2.546E-2	2.772E-2	3.764E-2	-0.191	-1.294E-2	0.191
0.717	6.205E-2	2.300E-2	6.618E-2	3.138E-2	6.008E-2	6.778E-2	0.923	1.040	1.391
0.734	6.292E-2	2.459E-2	6.755E-2	6.279E-2	7.562E-2	9.828E-2	1.333	-0.662	1.488
0.751	6.415E-2	2.552E-2	6.904E-2	7.565E-2	3.102E-2	8.176E-2	0.803	-2.412	2.542
0.767	6.544E-2	2.562E-2	7.028E-2	8.733E-2	-7.344E-3	8.764E-2	1.249	-0.958	1.574
0.784	6.706E-2	2.528E-2	7.166E-2	0.117	-3.589E-3	0.117	1.770	-0.270	1.791
0.801	6.934E-2	2.550E-2	7.388E-2	0.149	-6.715E-3	0.149	0.909	-0.371	0.982
0.817	7.203E-2	2.505E-2	7.626E-2	0.149	-2.448E-2	0.151	0.205	-0.777	0.804
0.834	7.433E-2	2.468E-2	7.832E-2	0.149	-2.821E-2	0.152	7.162E-2	1.465E-2	7.311E-2
0.851	7.701E-2	2.411E-2	8.070E-2	0.157	-2.711E-2	0.160	0.110	0.468	0.481
0.868	7.958E-2	2.378E-2	8.305E-2	0.151	-1.093E-2	0.151	-0.530	1.201	1.313
0.884	8.204E-2	2.375E-2	8.541E-2	0.140	1.245E-2	0.141	-0.855	0.202	0.879
0.901	8.425E-2	2.419E-2	8.766E-2	0.122	2.186E-3	0.122	-0.568	0.853	1.024
0.918	8.611E-2	2.382E-2	8.935E-2	0.118	2.501E-2	0.121	-0.722	0.838	1.106
0.934	8.820E-2	2.503E-2	9.168E-2	0.104	5.041E-2	0.116	-0.309	1.727	1.755
0.951	8.960E-2	2.550E-2	9.316E-2	9.888E-2	6.439E-2	0.118	-0.393	0.299	0.494
0.968	9.150E-2	2.718E-2	9.545E-2	0.100	7.719E-2	0.127	-0.661	0.785	1.026
0.984	9.295E-2	2.808E-2	9.710E-2	7.284E-2	7.565E-2	0.105	-1.651	-1.472	2.212
1.001	9.393E-2	2.970E-2	9.851E-2	4.521E-2	4.510E-2	6.386E-2	-0.583	-0.556	0.806
1.018	9.446E-2	2.958E-2	9.898E-2	4.907E-2	3.326E-2	5.928E-2	0.653	-0.214	0.688
1.034	9.557E-2	3.081E-2	0.100	7.296E-2	5.908E-2	9.388E-2	0.877	-4.738E-2	0.878
1.051	9.689E-2	3.155E-2	0.102	7.794E-2	2.456E-2	8.172E-2	7.052E-2	-2.184	2.185
1.068	9.817E-2	3.163E-2	0.103	7.424E-2	-1.463E-2	7.567E-2	1.176	-1.437	1.857
1.084	9.937E-2	3.106E-2	0.104	0.111	-2.705E-2	0.114	1.829	-0.874	2.028
1.101	0.102	3.073E-2	0.106	0.147	-3.671E-2	0.152	1.480	-0.946	1.756
1.118	0.104	2.984E-2	0.108	0.153	-6.294E-2	0.165	0.628	-1.048	1.221
1.134	0.107	2.863E-2	0.111	0.170	-7.214E-2	0.185	0.171	-0.135	0.218
1.151	0.110	2.743E-2	0.113	0.162	-6.666E-2	0.175	-0.777	0.744	1.076
1.168	0.112	2.640E-2	0.115	0.139	-4.792E-2	0.147	-0.359	0.753	0.835
1.185	0.115	2.583E-2	0.117	0.148	-3.780E-2	0.153	9.307E-2	1.155	1.159
1.201	0.117	2.514E-2	0.120	0.150	-1.600E-2	0.151	-0.205	1.436	1.451
1.218	0.120	2.530E-2	0.122	0.135	1.684E-2	0.136	-0.748	0.184	0.771
1.235	0.122	2.570E-2	0.125	0.128	-6.908E-3	0.128	-0.392	0.523	0.654
1.251	0.124	2.507E-2	0.126	0.120	1.654E-2	0.121	-0.813	0.694	1.069
1.268	0.126	2.626E-2	0.129	0.104	4.067E-2	0.111	-1.270	0.905	1.560
1.285	0.127	2.643E-2	0.130	7.504E-2	2.773E-2	8.000E-2	-0.981	-2.791E-2	0.982
1.301	0.128	2.718E-2	0.131	6.870E-2	4.862E-2	8.417E-2	-5.487E-2	0.626	0.629
1.318	0.130	2.805E-2	0.133	7.659E-2	4.769E-2	9.022E-2	-2.950E-2	-0.205	0.207
1.335	0.131	2.877E-2	0.134	6.863E-2	4.048E-2	7.968E-2	-7.952E-2	-1.030	1.033
1.351	0.132	2.940E-2	0.135	6.949E-2	1.615E-2	7.135E-2	0.113	-1.824	1.827
1.368	0.133	2.931E-2	0.136	7.713E-2	-2.347E-2	8.062E-2	1.336	-1.003	1.671
1.385	0.134	2.862E-2	0.137	0.107	-2.225E-2	0.109	2.081	-0.338	2.108
1.401	0.137	2.857E-2	0.140	0.154	-2.362E-2	0.156	1.570	-0.832	1.776
1.418	0.140	2.783E-2	0.142	0.160	-5.694E-2	0.170	0.191	-1.446	1.459
1.435	0.142	2.667E-2	0.145	0.156	-7.210E-2	0.171	-0.288	-0.341	0.446
1.451	0.145	2.542E-2	0.147	0.154	-6.823E-2	0.168	-6.940E-2	-0.193	0.205
1.468	0.147	2.439E-2	0.149	0.151	-7.445E-2	0.168	-0.288	0.149	0.324
1.485	0.150	2.294E-2	0.152	0.147	-7.027E-2	0.163	1.546E-2	0.862	0.862
1.502	0.152	2.205E-2	0.154	0.148	-4.082E-2	0.153	0.170	1.400	1.410
1.518	0.155	2.158E-2	0.156	0.156	-2.315E-2	0.157	-2.642E-2	1.432	1.432
1.535	0.157	2.128E-2	0.159	0.147	3.562E-3	0.147	-1.488	0.177	1.499
1.552	0.160	2.170E-2	0.161	0.108	-7.216E-3	0.108	-0.743	0.661	0.995
1.568	0.161	2.104E-2	0.162	0.110	6.689E-3	0.110	-0.197	0.328	0.383
