	mass C									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.295E-3	1.616E-3	2.071E-3						
0.017	3.815E-3	2.566E-3	4.598E-3	0.140	8.172E-2	0.162			
0.033	5.967E-3	4.343E-3	7.380E-3	0.116	8.584E-2	0.144	-0.814	0.546	0.980
0.050	7.691E-3	5.431E-3	9.415E-3	0.110	8.733E-2	0.140	-0.683	0.164	0.702
0.067	9.632E-3	7.257E-3	1.206E-2	9.949E-2	0.102	0.142	-0.949	0.543	1.093
0.083	1.101E-2	8.825E-3	1.411E-2	7.372E-2	9.931E-2	0.124	-1.355	0.797	1.572
0.100	1.209E-2	1.057E-2	1.606E-2	5.549E-2	0.128	0.139	-1.325	0.991	1.655
0.117	1.286E-2	1.308E-2	1.835E-2	3.035E-2	0.140	0.143	-1.360	0.298	1.392
0.133	1.310E-2	1.523E-2	2.009E-2	7.894E-3	0.131	0.131	-1.029	-0.373	1.095
0.150	1.313E-2	1.745E-2	2.184E-2	-3.022E-3	0.130	0.130	-0.407	-0.504	0.647
0.167	1.300E-2	1.957E-2	2.349E-2	-6.103E-3	0.115	0.115	3.173E-2	-1.031	1.032
0.184	1.292E-2	2.128E-2	2.489E-2	-1.508E-3	9.371E-2	9.372E-2	0.722	-1.125	1.337
0.200	1.295E-2	2.269E-2	2.613E-2	1.669E-2	7.742E-2	7.919E-2	1.551	-0.124	1.556
0.217	1.348E-2	2.386E-2	2.740E-2	5.116E-2	8.633E-2	0.100	1.613	-0.108	1.617
0.234	1.466E-2	2.558E-2	2.948E-2	7.364E-2	8.247E-2	0.111	1.707	-0.722	1.853
0.250	1.594E-2	2.661E-2	3.102E-2	0.102	5.512E-2	0.116	1.899	-1.246	2.271
0.267	1.808E-2	2.741E-2	3.284E-2	0.142	4.256E-2	0.148	1.991	-0.375	2.026
0.284	2.068E-2	2.803E-2	3.483E-2	0.167	4.144E-2	0.172	0.921	-0.136	0.931
0.300	2.366E-2	2.880E-2	3.727E-2	0.175	4.077E-2	0.179	6.982E-2	-4.963E-2	8.566E-2
0.317	2.651E-2	2.939E-2	3.958E-2	0.167	3.748E-2	0.171	-0.538	-1.613E-2	0.538
0.334	2.924E-2	3.005E-2	4.193E-2	0.157	4.116E-2	0.163	-0.716	0.750	1.037
0.350	3.176E-2	3.077E-2	4.422E-2	0.143	6.036E-2	0.155	-1.144	0.871	1.437
0.367	3.402E-2	3.206E-2	4.675E-2	0.120	7.521E-2	0.142	-1.359	0.980	1.675
0.384	3.577E-2	3.328E-2	4.886E-2	9.583E-2	8.777E-2	0.130	-1.128	0.323	1.173
0.400	3.722E-2	3.499E-2	5.108E-2	8.267E-2	9.213E-2	0.124	-0.930	0.425	1.023
0.417	3.853E-2	3.635E-2	5.297E-2	6.669E-2	9.487E-2	0.116	-0.973	0.505	1.096
0.434	3.944E-2	3.816E-2	5.488E-2	4.827E-2	0.114	0.123	-1.082	-0.207	1.101
0.450	4.014E-2	4.014E-2	5.677E-2	3.190E-2	9.147E-2	9.688E-2	-0.732	-0.590	0.940
0.467	4.051E-2	4.121E-2	5.778E-2	2.194E-2	8.262E-2	8.548E-2	-0.558	-0.381	0.675
0.484	4.087E-2	4.290E-2	5.925E-2	1.561E-2	8.962E-2	9.097E-2	-0.227	0.144	0.269
0.500	4.103E-2	4.420E-2	6.030E-2	1.214E-2	8.106E-2	8.197E-2	0.178	-1.002	1.017
0.517	4.128E-2	4.560E-2	6.151E-2	2.224E-2	6.186E-2	6.574E-2	1.254	-0.431	1.325
0.534	4.177E-2	4.626E-2	6.233E-2	5.236E-2	5.740E-2	7.769E-2	1.512	-0.594	1.625
0.551	4.302E-2	4.752E-2	6.410E-2	7.783E-2	5.338E-2	9.438E-2	1.849	-0.583	1.938
0.567	4.437E-2	4.804E-2	6.539E-2	0.108	2.951E-2	0.112	2.083	-1.086	2.349
0.584	4.662E-2	4.850E-2	6.727E-2	0.152	2.061E-2	0.154	1.826	-0.519	1.898
0.601	4.945E-2	4.873E-2	6.942E-2	0.170	1.099E-2	0.170	0.664	-0.421	0.786
0.617	5.228E-2	4.887E-2	7.156E-2	0.172	6.880E-3	0.172	0.101	-5.489E-2	0.115
0.634	5.517E-2	4.896E-2	7.376E-2	0.174	8.769E-3	0.174	-0.206	0.149	0.254
0.651	5.807E-2	4.916E-2	7.608E-2	0.166	1.278E-2	0.166	-0.393	0.256	0.469
0.667	6.070E-2	4.939E-2	7.825E-2	0.158	1.668E-2	0.159	-0.586	0.956	1.121
0.684	6.334E-2	4.972E-2	8.052E-2	0.149	4.219E-2	0.155	-0.899	1.009	1.352
0.701	6.566E-2	5.080E-2	8.301E-2	0.127	5.740E-2	0.139	-1.184	0.595	1.325
0.717	6.758E-2	5.163E-2	8.505E-2	0.108	5.591E-2	0.122	-1.283	0.270	1.311
0.734	6.927E-2	5.266E-2	8.702E-2	8.604E-2	6.818E-2	0.110	-0.882	0.548	1.039
0.751	7.045E-2	5.391E-2	8.871E-2	7.480E-2	7.516E-2	0.106	-0.725	0.594	0.937
0.767	7.177E-2	5.517E-2	9.052E-2	6.691E-2	8.576E-2	0.109	-1.132	0.374	1.192
0.784	7.268E-2	5.677E-2	9.223E-2	3.578E-2	9.114E-2	9.792E-2	-1.151	-0.205	1.169
0.801	7.296E-2	5.821E-2	9.334E-2	2.372E-2	7.742E-2	8.097E-2	-0.348	-0.267	0.439
0.817	7.348E-2	5.935E-2	9.445E-2	2.917E-2	7.884E-2	8.406E-2	0.186	-0.506	0.539
0.834	7.393E-2	6.084E-2	9.575E-2	2.833E-2	6.785E-2	7.353E-2	0.430	-0.822	0.927
0.851	7.442E-2	6.162E-2	9.662E-2	4.212E-2	4.415E-2	6.102E-2	1.137	-0.782	1.381
0.868	7.534E-2	6.231E-2	9.777E-2	6.803E-2	4.385E-2	8.094E-2	1.465	-0.402	1.520
0.884	7.669E-2	6.308E-2	9.930E-2	9.137E-2	3.341E-2	9.728E-2	1.492	-0.590	1.604
0.901	7.839E-2	6.343E-2	0.101	0.117	2.040E-2	0.119	1.665	-0.818	1.855
0.918	8.059E-2	6.376E-2	0.103	0.147	9.247E-3	0.148	1.531	-0.558	1.629
0.934	8.331E-2	6.374E-2	0.105	0.169	-1.197E-3	0.169	0.820	-0.258	0.860
0.951	8.624E-2	6.372E-2	0.107	0.175	1.782E-3	0.175	9.809E-2	0.228	0.248
0.968	8.913E-2	6.380E-2	0.110	0.172	6.870E-3	0.172	-0.423	0.134	0.444
0.984	9.197E-2	6.395E-2	0.112	0.161	6.832E-3	0.161	-0.583	0.298	0.654
1.001	9.451E-2	6.402E-2	0.114	0.150	1.442E-2	0.151	-0.740	0.731	1.040
1.018	9.698E-2	6.443E-2	0.116	0.139	3.312E-2	0.142	-0.841	0.781	1.148
1.034	9.913E-2	6.513E-2	0.119	0.121	4.162E-2	0.128	-1.370	0.726	1.551
1.051	0.101	6.582E-2	0.121	9.459E-2	5.418E-2	0.109	-1.326	0.582	1.448
1.068	0.102	6.694E-2	0.122	7.303E-2	6.504E-2	9.779E-2	-1.003	0.698	1.221
1.084	0.103	6.799E-2	0.124	6.381E-2	7.354E-2	9.737E-2	-0.773	0.282	0.823
1.101	0.104	6.939E-2	0.125	4.735E-2	7.851E-2	9.168E-2	-1.146	0.199	1.163
1.118	0.105	7.061E-2	0.127	2.523E-2	7.659E-2	8.064E-2	-1.025	9.869E-2	1.030
1.134	0.105	7.195E-2	0.127	1.149E-2	8.320E-2	8.399E-2	-0.191	-0.449	0.488
1.151	0.105	7.338E-2	0.128	1.871E-2	6.497E-2	6.761E-2	0.437	-1.092	1.176
1.168	0.106	7.411E-2	0.129	2.880E-2	4.072E-2	4.987E-2	0.637	-1.099	1.270
1.185	0.106	7.474E-2	0.130	3.781E-2	3.138E-2	4.913E-2	1.175	-0.577	1.309
1.201	0.107	7.516E-2	0.131	6.711E-2	2.071E-2	7.023E-2	1.734	-0.755	1.892
1.218	0.109	7.543E-2	0.132	9.909E-2	7.137E-3	9.934E-2	1.836	-0.721	1.972
1.235	0.110	7.540E-2	0.134	0.126	-4.946E-3	0.126	1.589	-0.655	1.718
1.251	0.113	7.527E-2	0.136	0.154	-1.341E-2	0.154	1.263	-0.412	1.328
1.268	0.116	7.495E-2	0.138	0.169	-1.976E-2	0.170	0.359	0.174	0.399
