	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	5.196E-4	-1.309E-3	1.408E-3						
0.017	7.656E-4	4.168E-4	8.717E-4	1.278E-2	8.951E-2	9.042E-2			
0.033	9.459E-4	1.678E-3	1.926E-3	2.222E-2	9.753E-2	0.100	0.704	0.221	0.738
0.050	1.507E-3	3.671E-3	3.968E-3	3.903E-2	0.107	0.114	0.713	-9.132E-2	0.719
0.067	2.248E-3	5.246E-3	5.708E-3	4.575E-2	8.860E-2	9.971E-2	0.579	-0.100	0.587
0.083	3.033E-3	6.627E-3	7.289E-3	5.658E-2	0.101	0.116	1.024	-0.827	1.317
0.100	4.136E-3	8.620E-3	9.561E-3	8.042E-2	7.361E-2	0.109	2.147	-0.476	2.199
0.117	5.717E-3	9.083E-3	1.073E-2	0.126	6.429E-2	0.142	1.760	-6.832E-6	1.760
0.133	8.354E-3	1.077E-2	1.363E-2	0.148	9.187E-2	0.174	0.435	1.010	1.100
0.150	1.064E-2	1.215E-2	1.615E-2	0.134	8.930E-2	0.161	-0.191	-2.084E-2	0.192
0.167	1.282E-2	1.374E-2	1.880E-2	0.140	9.445E-2	0.169	-0.127	-0.667	0.679
0.184	1.533E-2	1.530E-2	2.166E-2	0.135	6.921E-2	0.152	-0.429	-0.250	0.497
0.200	1.733E-2	1.605E-2	2.362E-2	0.120	7.514E-2	0.142	0.667	0.759	1.010
0.217	1.934E-2	1.781E-2	2.629E-2	0.155	0.106	0.188	-0.385	0.564	0.682
0.234	2.249E-2	1.960E-2	2.984E-2	0.126	9.222E-2	0.156	-2.371	-0.639	2.456
0.250	2.355E-2	2.088E-2	3.148E-2	5.418E-2	8.000E-2	9.662E-2	-2.208	-0.287	2.227
0.267	2.430E-2	2.227E-2	3.296E-2	5.702E-2	8.540E-2	0.103	0.198	0.369	0.419
0.284	2.545E-2	2.373E-2	3.480E-2	6.601E-2	9.192E-2	0.113	-7.892E-2	-0.444	0.451
0.300	2.650E-2	2.534E-2	3.667E-2	5.317E-2	7.456E-2	9.158E-2	-1.724	6.811E-2	1.726
0.317	2.723E-2	2.622E-2	3.780E-2	1.079E-2	8.311E-2	8.381E-2	-0.850	0.392	0.936
0.334	2.686E-2	2.811E-2	3.888E-2	1.205E-2	0.101	0.102	9.347E-2	-0.507	0.516
0.350	2.763E-2	2.959E-2	4.049E-2	3.046E-2	6.221E-2	6.927E-2	0.225	-0.728	0.762
