	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.318E-3	9.400E-4	1.619E-3						
0.017	3.335E-3	2.481E-3	4.157E-3	0.135	9.708E-2	0.166			
0.033	5.811E-3	4.179E-3	7.158E-3	0.142	0.109	0.179	-0.364	0.508	0.625
0.050	8.072E-3	6.115E-3	1.013E-2	0.121	0.115	0.167	-1.247	-5.512E-2	1.249
0.067	9.842E-3	8.032E-3	1.270E-2	9.819E-2	0.107	0.145	-1.167	-0.508	1.273
0.083	1.135E-2	9.686E-3	1.492E-2	8.280E-2	9.670E-2	0.127	-1.312	0.224	1.331
0.100	1.260E-2	1.126E-2	1.690E-2	5.614E-2	0.112	0.126	-1.398	0.546	1.501
0.117	1.322E-2	1.343E-2	1.885E-2	3.239E-2	0.122	0.126	-0.781	0.460	0.907
0.133	1.369E-2	1.532E-2	2.054E-2	3.103E-2	0.121	0.125	-0.640	-0.265	0.693
0.150	1.426E-2	1.749E-2	2.256E-2	1.532E-2	0.118	0.119	-0.995	0.834	1.298
0.167	1.420E-2	1.926E-2	2.393E-2	-7.488E-3	0.140	0.140	-0.681	0.596	0.905
0.184	1.401E-2	2.215E-2	2.621E-2	-6.488E-3	0.152	0.152	0.286	-0.599	0.664
0.200	1.398E-2	2.434E-2	2.807E-2	3.294E-3	0.112	0.112	0.151	-1.886	1.892
0.217	1.412E-2	2.589E-2	2.949E-2	3.875E-4	8.754E-2	8.754E-2	3.755E-2	-0.606	0.607
0.234	1.399E-2	2.727E-2	3.065E-2	4.755E-4	9.171E-2	9.171E-2	1.000	-0.213	1.023
0.250	1.413E-2	2.895E-2	3.221E-2	3.355E-2	8.592E-2	9.223E-2	1.836	-0.543	1.915
0.267	1.511E-2	3.013E-2	3.371E-2	6.666E-2	6.836E-2	9.548E-2	1.497	-7.063E-2	1.499
0.284	1.636E-2	3.123E-2	3.525E-2	8.124E-2	8.256E-2	0.116	0.620	-5.028E-2	0.622
