	mass A									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	-1.231E-3	2.832E-3	3.088E-3						
0.017	-5.262E-3	3.069E-3	6.091E-3	-0.230	1.411E-2	0.230			
0.033	-8.895E-3	3.303E-3	9.488E-3	-0.107	3.897E-2	0.114	5.358	1.479	5.559
0.050	-8.841E-3	4.370E-3	9.862E-3	-1.800E-2	6.978E-2	7.206E-2	2.330	1.256	2.647
0.067	-9.495E-3	5.631E-3	1.104E-2	-4.985E-2	7.856E-2	9.304E-2	-0.966	0.877	1.304
0.083	-1.050E-2	6.991E-3	1.262E-2	-5.152E-2	9.684E-2	0.110	0.125	0.785	0.795
0.100	-1.121E-2	8.862E-3	1.429E-2	-4.172E-2	0.109	0.117	-0.242	0.213	0.322
0.117	-1.190E-2	1.063E-2	1.596E-2	-5.816E-2	0.102	0.117	4.107	0.636	4.156
0.133	-1.316E-2	1.225E-2	1.798E-2	6.955E-2	0.125	0.143	2.704	0.560	2.761
0.150	-9.576E-3	1.482E-2	1.764E-2	9.328E-2	0.132	0.162	-1.240	-0.276	1.270
0.167	-1.004E-2	1.666E-2	1.945E-2	-2.729E-2	0.106	0.110	-4.238	-1.218	4.409
0.184	-1.049E-2	1.837E-2	2.115E-2	-3.009E-2	9.462E-2	9.929E-2	0.887	-0.613	1.078
0.200	-1.105E-2	1.982E-2	2.269E-2	-3.148E-3	8.458E-2	8.464E-2	1.184	-0.384	1.245
0.217	-1.059E-2	2.119E-2	2.369E-2	1.971E-2	8.237E-2	8.469E-2	-4.270	-0.894	4.363
0.234	-1.039E-2	2.256E-2	2.484E-2	-0.132	5.843E-2	0.144	-2.887	-0.824	3.002
0.250	-1.498E-2	2.314E-2	2.757E-2	-0.136	4.641E-2	0.144	-2.366	-0.920	2.539
0.267	-1.494E-2	2.411E-2	2.837E-2	-0.131	3.747E-2	0.136	-1.552	-0.644	1.681
0.284	-1.936E-2	2.439E-2	3.114E-2	-0.249	1.723E-2	0.249	-2.631	-0.849	2.764
0.300	-2.324E-2	2.469E-2	3.390E-2	-0.200	1.293E-2	0.200	6.119	0.621	6.150
0.317	-2.603E-2	2.482E-2	3.597E-2	-5.378E-2	3.297E-2	6.308E-2	2.680	0.439	2.715
0.334	-2.503E-2	2.579E-2	3.594E-2	-6.480E-2	3.818E-2	7.521E-2	-2.636	-0.364	2.661
0.350	-2.819E-2	2.610E-2	3.842E-2	-0.193	1.254E-2	0.194	-1.477	2.644E-2	1.478
0.367	-3.148E-2	2.621E-2	4.096E-2	-0.110	3.594E-2	0.115	4.243	1.845	4.627
0.384	-3.186E-2	2.730E-2	4.195E-2	-2.575E-2	8.112E-2	8.511E-2	2.660	1.696	3.154
0.400	-3.233E-2	2.891E-2	4.338E-2	-3.357E-2	9.334E-2	9.919E-2	-0.720	0.836	1.103
0.417	-3.298E-2	3.041E-2	4.486E-2	-4.919E-2	0.104	0.115	-0.806	0.257	0.846
0.434	-3.398E-2	3.238E-2	4.693E-2	-6.250E-2	0.108	0.125	3.975	0.907	4.077
