	mass B									
t	x	y	r	vx	vy	v	ax	ay	a	
0.000	1.893E-4	4.917E-4	5.269E-4						
0.017	8.801E-4	3.811E-4	9.591E-4	2.522E-2	4.494E-3	2.562E-2			
0.033	1.031E-3	6.417E-4	1.214E-3	8.369E-3	8.541E-3	1.196E-2	-0.733	1.532E-2	0.733
0.050	1.159E-3	6.660E-4	1.337E-3	3.503E-3	1.401E-3	3.773E-3	-8.501E-2	-0.249	0.263
0.067	1.148E-3	6.884E-4	1.338E-3	3.789E-3	1.239E-3	3.986E-3	6.847E-2	-9.467E-2	0.117
0.083	1.286E-3	7.074E-4	1.468E-3	7.743E-3	-1.415E-3	7.871E-3	0.361	-0.279	0.457
0.100	1.406E-3	6.412E-4	1.545E-3	1.408E-2	-8.194E-3	1.629E-2	0.822	-0.400	0.914
0.117	1.756E-3	4.340E-4	1.808E-3	3.517E-2	-1.520E-2	3.831E-2	1.334	-0.736	1.524
0.133	2.580E-3	1.341E-4	2.583E-3	6.013E-2	-3.108E-2	6.769E-2	1.314	-0.677	1.478
0.150	3.762E-3	-6.031E-4	3.810E-3	7.889E-2	-4.150E-2	8.914E-2	0.990	-0.303	1.035
0.167	5.212E-3	-1.251E-3	5.360E-3	9.305E-2	-3.858E-2	0.101	0.975	-0.179	0.991
0.184	6.867E-3	-1.891E-3	7.122E-3	0.110	-4.660E-2	0.120	0.562	-0.235	0.609
0.200	8.896E-3	-2.806E-3	9.328E-3	0.115	-4.957E-2	0.125	7.408E-2	0.308	0.317
0.217	1.071E-2	-3.545E-3	1.128E-2	0.109	-3.496E-2	0.115	-0.571	0.304	0.647
0.234	1.254E-2	-3.972E-3	1.316E-2	9.881E-2	-3.602E-2	0.105	-0.410	-8.519E-2	0.419
0.250	1.400E-2	-4.746E-3	1.479E-2	9.168E-2	-4.264E-2	0.101	-0.393	0.184	0.434
0.267	1.560E-2	-5.395E-3	1.651E-2	8.943E-2	-2.875E-2	9.393E-2	-0.718	0.904	1.154
0.284	1.699E-2	-5.706E-3	1.792E-2	6.752E-2	-1.120E-2	6.844E-2	-1.185	1.061	1.591
0.300	1.786E-2	-5.769E-3	1.876E-2	4.707E-2	5.945E-3	4.745E-2	-0.864	0.607	1.056
0.317	1.856E-2	-5.507E-3	1.936E-2	3.981E-2	1.138E-2	4.140E-2	-0.850	0.226	0.880
0.334	1.918E-2	-5.389E-3	1.993E-2	2.110E-2	1.040E-2	2.352E-2	-0.905	0.419	0.997
0.350	1.926E-2	-5.160E-3	1.994E-2	5.194E-3	2.524E-2	2.577E-2	-0.872	0.769	1.163
0.367	1.936E-2	-4.546E-3	1.988E-2	-4.120E-3	3.862E-2	3.884E-2	-0.360	0.182	0.404
0.384	1.912E-2	-3.872E-3	1.951E-2	-1.023E-2	3.147E-2	3.309E-2	-4.106E-2	-0.604	0.605
0.400	1.902E-2	-3.496E-3	1.933E-2	-3.471E-3	1.650E-2	1.687E-2	0.655	-1.043	1.232
